_UID,num_nodes,prop_overlap,theta,accuracy,auroc,coef,intercept
0,500,0.001,0.05,0.5066530194472876,0.5891002807693919,-1.3518698144280379,-2.6883920169543187
1,500,0.001,0.05,0.49738766980146293,0.5040971075643613,-1.3306474303599738,2.4164924643097097
2,500,0.001,0.05,0.5486257928118393,0.5898188872201959,-1.1059055317821798,-0.3487784410230832
3,500,0.001,0.05,0.5151515151515151,0.534410541763483,-1.069900419652371,0.3600034278385078
4,500,0.001,0.05,0.5269151138716356,0.5556112804289958,-1.067482591192489,-0.5409576149180135
5,500,0.001,0.1,0.532608695652174,0.604570437478438,-1.145720710074342,-0.20073252435529615
6,500,0.001,0.1,0.5016465422612514,0.5793967304817476,-1.1614214196618335,-0.5313115381358341
7,500,0.001,0.1,0.5155746509129968,0.5834048660722527,-1.1404641176133008,0.5150398811493363
8,500,0.001,0.1,0.5406593406593406,0.5754126392974627,-1.1805870292390723,-0.4549395984091925
9,500,0.001,0.1,0.5296655879180151,0.5580823129568416,-1.1562106728953114,-0.4469907505253896
10,500,0.001,0.15000000000000002,0.563953488372093,0.6463529411764706,-1.2923335153666518,-0.982372156224574
11,500,0.001,0.15000000000000002,0.5518433179723502,0.6036208223832656,-1.2674962134970529,-0.7711073686923563
12,500,0.001,0.15000000000000002,0.5565714285714286,0.5838540469373681,-1.3065903968651693,-1.1244347370884153
13,500,0.001,0.15000000000000002,0.5968331303288672,0.6283297720797721,-1.2651023289499046,-0.1461128338077098
14,500,0.001,0.15000000000000002,0.5842167255594818,0.6460825142984064,-1.2487673524846006,-0.18848351100952562
15,500,0.001,0.2,0.591861898890259,0.7222283071680662,-1.2794905176975742,0.20831323415743117
16,500,0.001,0.2,0.5737704918032787,0.6886345396873925,-1.3120595262082517,-0.6084364429725204
17,500,0.001,0.2,0.5673076923076923,0.5924850481060935,-1.275424672425819,0.45552072341857053
18,500,0.001,0.2,0.5899014778325123,0.672123883061383,-1.2843405144023685,-0.3534673058976513
19,500,0.001,0.2,0.5753086419753086,0.6309074271770626,-1.2926694836500936,-0.32436754411497504
20,500,0.001,0.25,0.5757180156657964,0.6518070810578633,-1.3832973807164777,-0.9707837935561777
21,500,0.001,0.25,0.6303763440860215,0.6936092808632823,-1.3448865975246884,0.3220638865638587
22,500,0.001,0.25,0.5986842105263158,0.6539580504835001,-1.348917519388992,0.6178557417661624
23,500,0.001,0.25,0.5657216494845361,0.599865154806268,-1.3253405595894807,0.45246452305233564
24,500,0.001,0.25,0.6201859229747676,0.6424764580480299,-1.7300135850570926,-3.0105699105503887
25,500,0.001,0.3,0.6005434782608695,0.6558524032106806,-1.3835441708229061,0.795241028485029
26,500,0.001,0.3,0.6464788732394366,0.7042413551995932,-1.6224753760503723,-2.1810449279779727
27,500,0.001,0.3,0.5952045133991537,0.7638351716564007,-1.3536928615719146,0.2557772513018174
28,500,0.001,0.3,0.6694796061884669,0.8059344833043203,-1.4538528033518439,-1.187595456783416
29,500,0.001,0.3,0.6390773405698779,0.7624915299178034,-1.3450086997632622,-0.34185402181321656
30,500,0.001,0.35000000000000003,0.6641337386018237,0.7255625895291344,-1.3780321284191412,-0.008847895797543826
31,500,0.001,0.35000000000000003,0.638109305760709,0.8324603673440882,-1.5602515291906056,-1.8055197006217814
32,500,0.001,0.35000000000000003,0.7050691244239631,0.8151094849103698,-1.4022252252222953,-0.44253480896016484
33,500,0.001,0.35000000000000003,0.6810730253353204,0.733121387283237,-1.4210403482746123,-0.7599190523091015
34,500,0.001,0.35000000000000003,0.6499261447562777,0.8073475764081618,-1.564801081486672,1.7988576082680416
