_UID,system,l1,l2,theta,accuracy,auroc
0,arxiv,2,6,0.05,0.519469864310508,0.5576021253655029
1,arxiv,2,6,0.05,0.5172848057427114,0.5424810256660119
2,arxiv,2,6,0.05,0.5274905422446406,0.552770240431133
3,arxiv,2,6,0.05,0.5062598301352627,0.5435681714259751
4,arxiv,2,6,0.05,0.5101707684580613,0.5506374751513821
5,arxiv,2,6,0.15555555555555556,0.5177289845804022,0.5814243339465439
6,arxiv,2,6,0.15555555555555556,0.5208569004524887,0.580652487481309
7,arxiv,2,6,0.15555555555555556,0.5293235231087935,0.5936481455272618
8,arxiv,2,6,0.15555555555555556,0.542689810894722,0.5856906366512591
9,arxiv,2,6,0.15555555555555556,0.5007068136839129,0.5654991545786285
10,arxiv,2,6,0.2611111111111111,0.5338907378845685,0.6069107543323966
11,arxiv,2,6,0.2611111111111111,0.5215622457282343,0.6129617550711242
12,arxiv,2,6,0.2611111111111111,0.5242560130452507,0.6062471714871855
13,arxiv,2,6,0.2611111111111111,0.5282097207522592,0.6084104320117183
14,arxiv,2,6,0.2611111111111111,0.5107843137254902,0.5936196164004692
15,arxiv,2,6,0.36666666666666664,0.5216375362183382,0.5984435653667427
16,arxiv,2,6,0.36666666666666664,0.5094912680334093,0.6052201367818304
17,arxiv,2,6,0.36666666666666664,0.5207960011317552,0.6138617050346034
18,arxiv,2,6,0.36666666666666664,0.5145501383455777,0.6026653165515452
19,arxiv,2,6,0.36666666666666664,0.503998476770754,0.6067424681481366
20,arxiv,2,6,0.4722222222222222,0.4988529479238357,0.5926716292648266
21,arxiv,2,6,0.4722222222222222,0.5036446469248291,0.6023864670269569
22,arxiv,2,6,0.4722222222222222,0.5042608794455176,0.5975224854145011
23,arxiv,2,6,0.4722222222222222,0.503244573730141,0.6001705459172377
24,arxiv,2,6,0.4722222222222222,0.5001708233686368,0.597281944636529
25,arxiv,2,6,0.5777777777777778,0.49322106464963605,0.5948999920864163
26,arxiv,2,6,0.5777777777777778,0.4907472806893629,0.5900148261410252
27,arxiv,2,6,0.5777777777777778,0.4871540099361249,0.5907426678724911
28,arxiv,2,6,0.5777777777777778,0.4981879007527181,0.5925295701977837
29,arxiv,2,6,0.5777777777777778,0.493422003758855,0.5882970969014397
30,arxiv,2,6,0.6833333333333333,0.46855828220858897,0.5523630092478132
31,arxiv,2,6,0.6833333333333333,0.4686971235194585,0.5568909814221698
32,arxiv,2,6,0.6833333333333333,0.4725105728565936,0.558861999477385
33,arxiv,2,6,0.6833333333333333,0.47105864432597105,0.5625994384399289
34,arxiv,2,6,0.6833333333333333,0.46737451737451735,0.5521124023567391
35,arxiv,2,6,0.788888888888889,0.44490818030050083,0.5072628138480463
36,arxiv,2,6,0.788888888888889,0.4539344721366564,0.5073148576258997
37,arxiv,2,6,0.788888888888889,0.4522275147100028,0.5164721141374838
38,arxiv,2,6,0.788888888888889,0.4311717861205916,0.49175352202460637
39,arxiv,2,6,0.788888888888889,0.42592592592592593,0.4761174036896365
40,arxiv,2,6,0.8944444444444445,0.39329608938547483,0.4145421419910421
41,arxiv,2,6,0.8944444444444445,0.3826754385964912,0.4173228231387954
42,arxiv,2,6,0.8944444444444445,0.3956422018348624,0.42163411309023263
43,arxiv,2,6,0.8944444444444445,0.3744075829383886,0.39391898261219804
44,arxiv,2,6,0.8944444444444445,0.3819767441860465,0.3921121619379459
45,arxiv,2,6,1.0,,-1.0
46,arxiv,2,6,1.0,,-1.0
47,arxiv,2,6,1.0,,-1.0
48,arxiv,2,6,1.0,,-1.0
49,arxiv,2,6,1.0,,-1.0
50,arxiv,2,7,0.05,0.500963528656056,0.539179418506791
51,arxiv,2,7,0.05,0.5243397573162027,0.5788045378392654
52,arxiv,2,7,0.05,0.5256465209315616,0.5427308426133307
53,arxiv,2,7,0.05,0.508074889238245,0.5696804604400324
54,arxiv,2,7,0.05,0.5214877213021131,0.5445206400649014
55,arxiv,2,7,0.15555555555555556,0.5475810314545745,0.6135220001956952
56,arxiv,2,7,0.15555555555555556,0.5373014599711214,0.6259127580427302
57,arxiv,2,7,0.15555555555555556,0.5198422281252516,0.6038111372535196
58,arxiv,2,7,0.15555555555555556,0.5175690784219773,0.6195442937204303
59,arxiv,2,7,0.15555555555555556,0.5345352564102565,0.6046691665550111
60,arxiv,2,7,0.2611111111111111,0.5285178064634258,0.6626243639997998
61,arxiv,2,7,0.2611111111111111,0.5129672358098754,0.6244100945167602
62,arxiv,2,7,0.2611111111111111,0.5278899082568808,0.642577164285509
63,arxiv,2,7,0.2611111111111111,0.5172921265636498,0.6479547999485755
64,arxiv,2,7,0.2611111111111111,0.5286606650744075,0.6484624626624594
65,arxiv,2,7,0.36666666666666664,0.5116702355460385,0.670366429753655
66,arxiv,2,7,0.36666666666666664,0.49482312338222606,0.6438018738058322
67,arxiv,2,7,0.36666666666666664,0.5186418824540668,0.6752897335034121
68,arxiv,2,7,0.36666666666666664,0.5052397586535408,0.6693787125842604
69,arxiv,2,7,0.36666666666666664,0.5153137716855858,0.6715338021121382
70,arxiv,2,7,0.4722222222222222,0.48064068608904026,0.6667354442978444
71,arxiv,2,7,0.4722222222222222,0.4944841012329656,0.6602916145525463
72,arxiv,2,7,0.4722222222222222,0.4759707804690504,0.6606661229337522
73,arxiv,2,7,0.4722222222222222,0.47870026864526033,0.6432197280779078
74,arxiv,2,7,0.4722222222222222,0.48937259923175414,0.6542909608180782
75,arxiv,2,7,0.5777777777777778,0.4377865612648221,0.6357362921421914
76,arxiv,2,7,0.5777777777777778,0.4477040816326531,0.6333902859266174
77,arxiv,2,7,0.5777777777777778,0.45190120246993826,0.6384870517652814
78,arxiv,2,7,0.5777777777777778,0.45201736055296576,0.6673122687663888
79,arxiv,2,7,0.5777777777777778,0.4536876867431986,0.6450342630588035
80,arxiv,2,7,0.6833333333333333,0.40960999784529195,0.5773159842398463
81,arxiv,2,7,0.6833333333333333,0.41017521638167614,0.604852905106119
82,arxiv,2,7,0.6833333333333333,0.4117520909285867,0.6393849432899444
83,arxiv,2,7,0.6833333333333333,0.4158818493150685,0.6056678401411498
84,arxiv,2,7,0.6833333333333333,0.42018040696454795,0.6282399364591145
85,arxiv,2,7,0.788888888888889,0.399404367968233,0.5742327522133052
86,arxiv,2,7,0.788888888888889,0.396973599484868,0.5788973020516645
87,arxiv,2,7,0.788888888888889,0.39105431309904154,0.573785523841355
88,arxiv,2,7,0.788888888888889,0.3757556474705695,0.5280939775745804
89,arxiv,2,7,0.788888888888889,0.37078294080203694,0.5444405307032992
90,arxiv,2,7,0.8944444444444445,0.3481912144702842,0.4408730059975612
91,arxiv,2,7,0.8944444444444445,0.32181018227529856,0.4302516080387977
92,arxiv,2,7,0.8944444444444445,0.3274336283185841,0.46214416080020854
93,arxiv,2,7,0.8944444444444445,0.3267515923566879,0.4418473004114126
94,arxiv,2,7,0.8944444444444445,0.331421287444232,0.4565829929787527
95,arxiv,2,7,1.0,,-1.0
96,arxiv,2,7,1.0,,-1.0
97,arxiv,2,7,1.0,,-1.0
98,arxiv,2,7,1.0,,-1.0
99,arxiv,2,7,1.0,,-1.0
100,arxiv,6,7,0.05,0.5148374941121056,0.5428748069199876
101,arxiv,6,7,0.05,0.5206367924528302,0.5651536424822852
102,arxiv,6,7,0.05,0.5146295422369042,0.5543818575136445
103,arxiv,6,7,0.05,0.5150375939849624,0.5477596695676916
104,arxiv,6,7,0.05,0.5219689849624061,0.5627527737091287
105,arxiv,6,7,0.15555555555555556,0.540990099009901,0.6232984432521332
106,arxiv,6,7,0.15555555555555556,0.5399496488670995,0.6270065797580029
107,arxiv,6,7,0.15555555555555556,0.5204600160470714,0.6002521947326416
