_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
0,celegans,1,2,0.05,0.5896520963425513,0.5661978781149766,0.817955108270479,-1.4789795125082354
1,celegans,1,2,0.05,0.591726618705036,0.6069538213729879,1.8898637450843052,-1.159938288966031
2,celegans,1,2,0.05,0.6305903398926654,0.5905284968210717,-1.6674029056181596,-1.0057399216907899
3,celegans,1,2,0.05,0.6033568904593639,0.5572344385947853,-2.6144646313714595,-0.9958830311973721
4,celegans,1,2,0.05,0.6182462356067316,0.5854167536207688,0.5476748243016281,-1.2251542403503555
5,celegans,1,2,0.15,0.5742771684945165,0.5689286562673213,0.4828821672871193,-1.7694937130355792
6,celegans,1,2,0.15,0.6005917159763313,0.6180601225295075,1.1711499564361973,-1.26747030701028
7,celegans,1,2,0.15,0.6152324431256182,0.6088392385668158,-2.08826873331881,-1.5666201025531339
8,celegans,1,2,0.15,0.5564278704612365,0.6008379156847342,1.5744520703756542,-1.47758471547845
9,celegans,1,2,0.15,0.5776031434184676,0.5707625664779551,1.579810944678208,-1.9582431094739883
10,celegans,1,2,0.25,0.6219239373601789,0.6066055583081844,1.2084990652629397,-0.9190115397229227
11,celegans,1,2,0.25,0.6185682326621924,0.6194204567261562,-0.8808622585335099,-1.5567740476873642
12,celegans,1,2,0.25,0.6170212765957447,0.6270139877522428,0.5900146128715889,-1.0697664032822827
13,celegans,1,2,0.25,0.5859030837004405,0.6191765131746005,4.163013525178955,-1.2778527949102227
14,celegans,1,2,0.25,0.5845464725643897,0.5984673269518066,3.8470033964603867,-1.3599757361650635
15,celegans,1,2,0.35,0.5932203389830508,0.6215942492499353,5.186013603171358,-1.3899265937570244
16,celegans,1,2,0.35,0.6338028169014085,0.6325799971301478,-0.1175547261375195,-1.0423614407779203
17,celegans,1,2,0.35,0.621903520208605,0.6213075435203096,-0.133547276698487,-1.223563913376845
18,celegans,1,2,0.35,0.6507936507936508,0.6529147292779465,3.0734603516579972,-1.1555497404972221
19,celegans,1,2,0.35,0.5917808219178082,0.6247072011778879,-0.10556596873778082,-0.8501361564240497
20,celegans,1,2,0.44999999999999996,0.5993930197268589,0.6185450394354504,0.8381508476980993,-1.028777857223975
21,celegans,1,2,0.44999999999999996,0.5805946791862285,0.6135115382911813,4.304284570785544,-0.8573029772139353
22,celegans,1,2,0.44999999999999996,0.5896700143472023,0.6176298624180081,2.565308349215902,-1.2452539297715346
23,celegans,1,2,0.44999999999999996,0.6280752532561505,0.6297985249145529,2.4344849428011854,-1.0792419684995476
24,celegans,1,2,0.44999999999999996,0.6414219474497682,0.655463281012218,2.5183216793894805,-1.0589284948045787
25,celegans,1,2,0.5499999999999999,0.6056074766355141,0.614004914004914,3.0674715353674076,-0.9322306991258288
26,celegans,1,2,0.5499999999999999,0.6201117318435754,0.6425718003813212,3.441753230529661,-0.9614084689044302
27,celegans,1,2,0.5499999999999999,0.6081330868761553,0.6309140601275434,1.245590641292359,-0.9867088755877089
28,celegans,1,2,0.5499999999999999,0.6053719008264463,0.6370554550934298,4.44119942739195,-1.0092588195695689
29,celegans,1,2,0.5499999999999999,0.5985533453887885,0.6454542890186454,7.016521904530554,-1.246032375398814
30,celegans,1,2,0.65,0.6282973621103117,0.6534358409295803,4.238643750464246,-0.934067195238562
31,celegans,1,2,0.65,0.6301703163017032,0.661281179138322,2.7882419257735163,-0.9684809815288509
32,celegans,1,2,0.65,0.61,0.6722843976300197,4.385896212669207,-0.8526713318476377
33,celegans,1,2,0.65,0.5791962174940898,0.611111111111111,1.7638611382780507,-0.7731808213164248
34,celegans,1,2,0.65,0.5703883495145631,0.6478934340470054,4.794862712746358,-0.9737378354913012
35,celegans,1,2,0.75,0.5888501742160279,0.623317435082141,3.0474891547361964,-0.8036556826455181
36,celegans,1,2,0.75,0.6205673758865248,0.671626054358013,3.748402040095008,-1.047124460910308
37,celegans,1,2,0.75,0.6241830065359477,0.6587141314046869,4.919200005114737,-0.8057535470283126
38,celegans,1,2,0.75,0.578397212543554,0.6253933803581118,3.7131180067193506,-0.8409390262371692
39,celegans,1,2,0.75,0.6284722222222222,0.6649746192893401,2.0126595176787636,-0.7759786648670097
40,celegans,1,2,0.85,0.56,0.6056877221766475,1.960186558772793,-0.7367923239499095
41,celegans,1,2,0.85,0.589041095890411,0.6475392220073071,4.5133859384369766,-0.8166074504884099
42,celegans,1,2,0.85,0.5868263473053892,0.6524152415241524,3.71601625109382,-0.7447415072548024
43,celegans,1,2,0.85,0.5769230769230769,0.5783783783783782,3.5018812217632855,-0.7596437507915044
44,celegans,1,2,0.85,0.6033519553072626,0.725,3.9177749877439605,-0.847739076988555
45,celegans,1,2,0.95,0.5306122448979592,0.5982758620689654,4.883655414532818,-0.8996491596080216
46,celegans,1,2,0.95,0.5921052631578947,0.6436011904761904,3.3965551645113226,-0.8242201285867623
47,celegans,1,2,0.95,0.6231884057971014,0.6781818181818181,3.420749505228777,-0.7370931247170251
48,celegans,1,2,0.95,0.5,0.6047666335650448,3.601750243565293,-0.7881666157591438
49,celegans,1,2,0.95,0.5882352941176471,0.5636856368563685,5.930301109181426,-0.8985276394811912
50,celegans,1,3,0.05,0.6898839137645107,0.5294893205590225,-3.40780251563249,-0.7646500085454859
51,celegans,1,3,0.05,0.6966666666666667,0.6500508688647748,-0.7005419288109617,-1.044464225826588
52,celegans,1,3,0.05,0.7420066152149944,0.6232698480803459,0.21879227451445157,-0.6206912745518406
53,celegans,1,3,0.05,0.6366685299049748,0.5707792580211714,-1.0121246637499186,-0.34451271261576155
