,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time
0,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
1,arxiv,2,6,0.1,0.8043268068648779,0.8411838588347638,0.9164511532382069,0.12053234700010762,0.12053322792053223
2,arxiv,2,6,0.2,0.8452083474032552,0.893653310282232,0.9387124094530064,0.10881169600020257,0.10881304740905762
3,arxiv,2,6,0.30000000000000004,0.855990694067468,0.9229150554126169,0.9597777478126553,0.15102055800002745,0.15102148056030273
4,arxiv,2,6,0.4,0.8735703519815586,0.933322106585476,0.964969226362683,0.10427841399996396,0.1042795181274414
5,arxiv,2,6,0.5,0.8889842325431728,0.942285801049846,0.9693833384352957,0.10633260000008704,0.10633349418640137
6,arxiv,2,6,0.6000000000000001,0.8920377867746289,0.9466532966793448,0.9725725664499638,0.15698298799998156,0.15698528289794922
7,arxiv,2,6,0.7000000000000001,0.9003486878326299,0.9505094545820104,0.9757306151054309,0.13644737899994652,0.13644862174987793
8,arxiv,2,6,0.8,0.9098294069861901,0.9623149060454642,0.9824513214102892,0.13861271199994007,0.13861346244812012
9,arxiv,2,6,0.9,0.9140837411636759,0.9606244409660107,0.9796323758148836,0.12406716899999992,0.12406778335571289
10,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
11,arxiv,2,6,0.1,0.7930118882384889,0.8232080655901068,0.9067059568755486,0.1091704599998593,0.10917162895202637
12,arxiv,2,6,0.2,0.8073388295715638,0.8961482884881543,0.9431918844341409,0.1553643549998469,0.1553652286529541
13,arxiv,2,6,0.30000000000000004,0.857451403887689,0.9183843592849926,0.9556102753426862,0.11103260799995951,0.11103343963623047
14,arxiv,2,6,0.4,0.8800436205016358,0.9387642620754136,0.9662414291984631,0.1100782649998564,0.11007881164550781
15,arxiv,2,6,0.5,0.8856368563685637,0.9425648878043785,0.9683746854664621,0.10805718200003867,0.10805797576904297
16,arxiv,2,6,0.6000000000000001,0.8981132075471698,0.9517980577641604,0.9744430254695943,0.15081744300005084,0.1508181095123291
17,arxiv,2,6,0.7000000000000001,0.9173098125689085,0.9591812571463041,0.9789328511264731,0.13547618400002648,0.13547682762145996
18,arxiv,2,6,0.8,0.901824034334764,0.959233846893542,0.9792202015355727,0.1558248649998859,0.15582585334777832
19,arxiv,2,6,0.9,0.9027027027027027,0.9577529286909116,0.9784267808404239,0.12759636999999202,0.12759709358215332
20,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
21,arxiv,2,6,0.1,0.7971934918042702,0.8281731699139323,0.9090750526775393,0.11413241600007495,0.11413335800170898
22,arxiv,2,6,0.2,0.8138888888888889,0.89198494038904,0.9392032549299132,0.15802834999999504,0.15802931785583496
23,arxiv,2,6,0.30000000000000004,0.8540379954655617,0.9207126390479676,0.9565838522058837,0.1094891559998814,0.10949039459228516
24,arxiv,2,6,0.4,0.8817184972137336,0.9401797570644564,0.968706529852752,0.1104691749999347,0.11047005653381348
25,arxiv,2,6,0.5,0.8940217391304348,0.9488503250911647,0.97329331460717,0.10575347899998633,0.10575437545776367
26,arxiv,2,6,0.6000000000000001,0.8985310119695321,0.9492341412659697,0.9728670151380592,0.15781187499987936,0.15781259536743164
27,arxiv,2,6,0.7000000000000001,0.9053703703703704,0.9521409485189891,0.9731459447906845,0.12886664199982079,0.12886762619018555
28,arxiv,2,6,0.8,0.9105133132034038,0.9608254687434752,0.980519278301791,0.14047756499985553,0.14047861099243164
29,arxiv,2,6,0.9,0.9207547169811321,0.9643628828737583,0.983140968021083,0.12888280199990731,0.12888360023498535
30,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
31,arxiv,2,6,0.1,0.789798609446176,0.8216564408341974,0.9092075638546434,0.10974662600006013,0.10974764823913574
32,arxiv,2,6,0.2,0.8134140534657506,0.8952784313913528,0.9428500580253473,0.1632217280000532,0.1632227897644043
33,arxiv,2,6,0.30000000000000004,0.8569319241529375,0.9216861850694276,0.9550676764931977,0.10938044299996363,0.10938167572021484
34,arxiv,2,6,0.4,0.880265876223839,0.9337594354880153,0.9614928230268369,0.11182899499999621,0.11182975769042969
35,arxiv,2,6,0.5,0.8937669376693766,0.9435942462782968,0.9688077546262494,0.10500610299982327,0.10500645637512207
36,arxiv,2,6,0.6000000000000001,0.899024125779344,0.9492218403425018,0.9738468074342395,0.15763132800020685,0.15763187408447266
37,arxiv,2,6,0.7000000000000001,0.9066570188133141,0.9608155781843204,0.9819399456218928,0.13558828500003983,0.1355893611907959
38,arxiv,2,6,0.8,0.9122615803814714,0.9597124408793776,0.9789510886093344,0.12753693900003782,0.12753772735595703
39,arxiv,2,6,0.9,0.9045307443365695,0.9607121386019566,0.9818634211279682,0.13563627400003497,0.1356370449066162
40,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
41,arxiv,2,6,0.1,0.8009950248756219,0.8210978503084898,0.9045071150443162,0.11528810499999054,0.11528897285461426
42,arxiv,2,6,0.2,0.8479738917595866,0.8941494802647626,0.940990947250643,0.156519512000159,0.15652036666870117
43,arxiv,2,6,0.30000000000000004,0.8573769212764297,0.9246482178775169,0.9603177583065537,0.10766180299992811,0.10766267776489258
44,arxiv,2,6,0.4,0.8715629522431259,0.9331521020657955,0.9642253574964045,0.10662880399991082,0.1066293716430664
45,arxiv,2,6,0.5,0.8917431192660551,0.947729299116142,0.9724193356571625,0.10618924299978971,0.10618996620178223
46,arxiv,2,6,0.6000000000000001,0.9040910322405852,0.9529435631819679,0.9755252192049493,0.1548442939999859,0.1548452377319336
47,arxiv,2,6,0.7000000000000001,0.901272173445619,0.9529398012998475,0.9758974491513426,0.12995714299995598,0.1299581527709961
48,arxiv,2,6,0.8,0.9085147423532653,0.9592350882439857,0.9794350053761671,0.12827509199996712,0.12827634811401367
49,arxiv,2,6,0.9,0.915948275862069,0.9634387717351093,0.9825159106156947,0.1310764790000576,0.13107752799987793
50,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
51,arxiv,2,6,0.1,0.7876501478843484,0.8257505350525235,0.9066203851470935,0.11166105100005552,0.11166191101074219
52,arxiv,2,6,0.2,0.8146159075458872,0.8931996806475724,0.938830297795749,0.16177153400008137,0.1617724895477295
53,arxiv,2,6,0.30000000000000004,0.8510886469673405,0.9167857446443359,0.9535914865988291,0.1134779480000816,0.1134791374206543
54,arxiv,2,6,0.4,0.8799601377061061,0.9400535454571982,0.9675811842915094,0.1086598970000523,0.10866069793701172
55,arxiv,2,6,0.5,0.889071577332018,0.9435208151470286,0.9704046175772982,0.10561324200011768,0.10561394691467285
56,arxiv,2,6,0.6000000000000001,0.8961533233655022,0.9473087248380893,0.9711336004375045,0.15543594400014626,0.15543651580810547
57,arxiv,2,6,0.7000000000000001,0.9037529179385886,0.9560449672491557,0.9779174587311643,0.1304478240001572,0.1304483413696289
58,arxiv,2,6,0.8,0.9064311344189898,0.9593329348170773,0.9809785841759179,0.12963464599988583,0.12963533401489258
59,arxiv,2,6,0.9,0.9054726368159204,0.9593794498451418,0.9804566382363137,0.13093470399985563,0.1309354305267334
60,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
61,arxiv,2,6,0.1,0.7966510059029033,0.831819190206772,0.9111445825931892,0.11237116699999206,0.11237215995788574
62,arxiv,2,6,0.2,0.8121142236993828,0.8924273777040046,0.9420859305196444,0.1563386640000317,0.1563401222229004
63,arxiv,2,6,0.30000000000000004,0.858409125944196,0.922674799658486,0.9560095747305337,0.10825884799987762,0.10825943946838379
64,arxiv,2,6,0.4,0.8772813089993706,0.9363241682304737,0.966162319370097,0.10854439100012314,0.10854578018188477
65,arxiv,2,6,0.5,0.8871334271182773,0.9449537133477207,0.9708278025414919,0.15761798399989857,0.15761876106262207
66,arxiv,2,6,0.6000000000000001,0.9017808219178082,0.9543093225946925,0.9775648386180259,0.11580746399999953,0.11580824851989746
67,arxiv,2,6,0.7000000000000001,0.9003375377509326,0.9555469613946148,0.977653617980514,0.13727116699988073,0.13727188110351562
68,arxiv,2,6,0.8,0.9144107191687175,0.9642441150103768,0.9825710729333353,0.13628693800001201,0.13628792762756348
69,arxiv,2,6,0.9,0.9089906232763376,0.9565696693976576,0.9792601616114167,0.12737601300000279,0.12737655639648438
70,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
71,arxiv,2,6,0.1,0.7970037903856567,0.8284097910440102,0.9088014565678582,0.11473387999990337,0.11473488807678223
