,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
0,1000,5.0,5.0,,,,,,,,,,,,,,
1,1000,5.0,5.0,0.1,0.022160180130658128,9.844591516610281,0.46273449383133347,0.43753974510065863,0.46266451386156954,0.039367891999972926,0.03936910629272461,3429.0,3208.0,6.858,6.416,12.58,12.528
2,1000,5.0,5.0,0.2,0.004554927845417125,10.368892153186351,0.444106463878327,0.40868652246391257,0.4520299797773486,0.03636235600015425,0.03636336326599121,3429.0,3208.0,6.858,6.416,11.866,11.928
3,1000,5.0,5.0,0.30000000000000004,-0.0229712069250215,8.820962558280293,0.41988354539573,0.36700750832396034,0.41944877363013006,0.034061607000239746,0.03406214714050293,3429.0,3208.0,6.858,6.416,11.348,11.2
4,1000,5.0,5.0,0.4,0.002249846743150606,6.9545608910743635,0.394610929236968,0.34274522247970834,0.41734121107766653,0.03508491899992805,0.035085439682006836,3429.0,3208.0,6.858,6.416,10.636,10.58
5,1000,5.0,5.0,0.5,-0.07036791769046674,5.81477302601082,0.3758020164986251,0.3161911610878661,0.39411859614843325,0.033620532999975694,0.03362107276916504,3429.0,3208.0,6.858,6.416,10.058,9.762
6,1000,5.0,5.0,0.6000000000000001,-0.05991532866384189,5.0483164382917085,0.36329447160586686,0.27963847450561,0.38440967584624774,0.03378609899982621,0.03378653526306152,3429.0,3208.0,6.858,6.416,9.424,9.168
7,1000,5.0,5.0,0.7000000000000001,-0.06723508113362417,3.867952266141608,0.32153690596562184,0.23640617070735181,0.3658556115414713,0.03210037300004842,0.03210091590881348,3429.0,3208.0,6.858,6.416,8.782,8.448
8,1000,5.0,5.0,0.8,-0.06335997968375437,3.3525557408952267,0.3143507972665148,0.21916490707009767,0.38324395932791194,0.03319996100026401,0.03320050239562988,3429.0,3208.0,6.858,6.416,8.072,7.836
9,1000,5.0,5.0,0.9,-0.07948471434426539,2.807870512992562,0.2472952086553323,0.13908724445724158,0.354715381754837,0.03084919599996283,0.030849456787109375,3429.0,3208.0,6.858,6.416,7.462,7.106
10,1000,5.0,5.0,,,,,,,,,,,,,,
11,1000,5.0,5.0,0.1,0.039038300680880225,9.034364921969384,0.4578768417075935,0.4307202956786656,0.4482420876820661,0.041364422000242485,0.0413661003112793,2961.0,2897.0,5.922,5.794,11.166,11.138
12,1000,5.0,5.0,0.2,-0.03662310053412154,9.547352909781319,0.42515614904156795,0.38622888825387164,0.41400537108289154,0.06998120900016147,0.06998133659362793,2961.0,2897.0,5.922,5.794,10.592,10.41
13,1000,5.0,5.0,0.30000000000000004,-0.0631666786629729,8.852006325532876,0.40282169788372657,0.3508591614300422,0.4008628754774256,0.03545633299972906,0.03545737266540527,2961.0,2897.0,5.922,5.794,10.022,9.916
14,1000,5.0,5.0,0.4,-0.030018238950308352,7.119761457153372,0.3827884884045823,0.32691129330461766,0.3919927655207792,0.03184499099961613,0.0318455696105957,2961.0,2897.0,5.922,5.794,9.464,9.41
15,1000,5.0,5.0,0.5,-0.022604930102726344,5.732862711266854,0.3512326916582236,0.28736035017299644,0.3772826646453362,0.032509462000234635,0.032509803771972656,2961.0,2897.0,5.922,5.794,8.838,8.8
16,1000,5.0,5.0,0.6000000000000001,0.007634149911632917,4.700226515978938,0.31897654584221746,0.24559951792287638,0.3662091970955266,0.03181588699999338,0.03181624412536621,2961.0,2897.0,5.922,5.794,8.214,8.192
17,1000,5.0,5.0,0.7000000000000001,-0.012689715081856996,4.110072810189076,0.2937603533959139,0.20040286765638882,0.3506559708651688,0.030945630999667628,0.030946016311645508,2961.0,2897.0,5.922,5.794,7.698,7.64
