,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time
0,celegans,1,2,0.05,0.5354260089686098,0.5377244178042905,0.3945977832925637,16.327405328163877,16.327406406402588
1,celegans,1,2,0.27499999999999997,0.5452436194895591,0.5278985507246376,0.38108649328366884,14.914392397971824,14.914393186569214
2,celegans,1,2,0.49999999999999994,0.6433333333333333,0.6492362804119608,0.44089217857714547,14.804388603195548,14.804388999938965
3,celegans,1,2,0.725,0.6092896174863388,0.6339942226890756,0.49297283510845874,14.566118399845436,14.566118955612183
4,celegans,1,2,0.95,0.603448275862069,0.7187948350071736,0.4624806141910066,13.6054061090108,13.605406522750854
5,london,1,2,0.05,0.7715877437325905,0.41230845279288186,0.7570054586255126,17.35572419897653,17.355724811553955
6,london,1,2,0.27499999999999997,0.7265917602996255,0.24047991653625456,0.6640064220658187,17.935641485033557,17.935641765594482
7,london,1,2,0.49999999999999994,0.8066298342541437,0.8608610567514677,0.9633775287954178,15.5917351199314,15.591736078262329
8,london,1,2,0.725,0.826530612244898,0.9839208410636983,0.9962056616670849,14.20255007990636,14.202550411224365
9,london,1,2,0.95,0.9259259259259259,1.0,1.0,10.740365937817842,10.740366458892822
