,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time
0,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
1,arxiv,2,6,0.1,0.7744510978043913,0.7886840268225275,0.9034303470010144,211.14881102740765,211.1488118171692
2,arxiv,2,6,0.2,0.8436143135199881,0.8980746271291733,0.9552420169470867,211.71524257957935,211.71524333953857
3,arxiv,2,6,0.30000000000000004,0.8961623365596876,0.9530667360817362,0.9788995714496205,211.06167203933,211.06167340278625
4,arxiv,2,6,0.4,0.9078021215425796,0.9646203478753907,0.9847397184307345,201.49497650936246,201.49497723579407
5,arxiv,2,6,0.5,0.9245305585456285,0.9739438536816729,0.9886315315304028,197.8134072944522,197.81340837478638
6,arxiv,2,6,0.6000000000000001,0.9422248626169613,0.9832412755969699,0.992702545085066,188.68149891868234,188.68149995803833
7,arxiv,2,6,0.7000000000000001,0.9454183266932271,0.9854851938185272,0.993592413177007,174.06468991562724,174.06469082832336
8,arxiv,2,6,0.8,0.9392350400987045,0.9826142609743241,0.9926046737410154,162.75271229818463,162.75271320343018
9,arxiv,2,6,0.9,0.950781702374059,0.9893594627105052,0.9958302352537622,151.15520114824176,151.1552028656006
10,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
11,arxiv,2,6,0.1,0.7604512276045122,0.767820740147806,0.8905862282978843,213.55095463618636,213.55095648765564
12,arxiv,2,6,0.2,0.8448224187022328,0.896914242294963,0.9539756077356398,206.1265086196363,206.12650966644287
13,arxiv,2,6,0.30000000000000004,0.8922706560055025,0.9501612093016403,0.9776542849590613,201.84917680174112,201.84917759895325
14,arxiv,2,6,0.4,0.9147687012855552,0.9671700332176282,0.9858986783372169,197.4269301481545,197.426931142807
15,arxiv,2,6,0.5,0.9231873653984207,0.9748677004325811,0.9888505411798441,191.55742010474205,191.55742144584656
16,arxiv,2,6,0.6000000000000001,0.9313916829304909,0.9811831030607289,0.992027229062167,184.3318355306983,184.33183646202087
17,arxiv,2,6,0.7000000000000001,0.9347079037800687,0.9828779735203982,0.9926128732752886,173.12598963081837,173.12599062919617
18,arxiv,2,6,0.8,0.9470395715560845,0.9859508871491863,0.9933674457845688,162.24505558237433,162.24505639076233
19,arxiv,2,6,0.9,0.9633251833740831,0.9906309794307582,0.9958969273363465,149.5293350070715,149.52933621406555
20,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
21,arxiv,2,6,0.1,0.7681477053861991,0.7740590472888834,0.8915097567991994,208.01487812027335,208.01487970352173
22,arxiv,2,6,0.2,0.8393832796946337,0.8961739797530048,0.9518887428729059,204.80877114087343,204.80877208709717
23,arxiv,2,6,0.30000000000000004,0.8972026771923803,0.9524093493943944,0.979312489185447,200.0633271932602,200.06332898139954
24,arxiv,2,6,0.4,0.9169345118521495,0.9691618875808611,0.9864746271104108,199.66472462564707,199.66472578048706
25,arxiv,2,6,0.5,0.917804964960209,0.9741622355473191,0.9883715193017607,187.26482782140374,187.2648286819458
26,arxiv,2,6,0.6000000000000001,0.9369288389513108,0.9819998608025128,0.9919451171934692,184.11449703201652,184.11449766159058
27,arxiv,2,6,0.7000000000000001,0.9474,0.9844500024397609,0.9928678571167724,171.0182910747826,171.01829195022583
28,arxiv,2,6,0.8,0.9467275494672754,0.9841297856476495,0.9925915721706375,156.06621213629842,156.06621313095093
29,arxiv,2,6,0.9,0.9583088667058133,0.9908467934369811,0.9960179037393668,147.34660859405994,147.34660959243774
30,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
31,arxiv,2,6,0.1,0.7584508916688848,0.7702606259767346,0.8929869441287919,211.84099672734737,211.84099793434143
32,arxiv,2,6,0.2,0.8444878929162281,0.9061573074304436,0.957489733459169,204.65774423629045,204.65774512290955
33,arxiv,2,6,0.30000000000000004,0.891295007304288,0.9500317285252451,0.9774202726873462,199.82993064820766,199.829931974411
34,arxiv,2,6,0.4,0.9069883361579105,0.9670173219758336,0.985421842879641,194.6451587304473,194.64516019821167
35,arxiv,2,6,0.5,0.9291993347588501,0.976273264341718,0.9896434841592414,189.35479101911187,189.3547921180725
36,arxiv,2,6,0.6000000000000001,0.9357743097238895,0.9794475008926031,0.9906769271896445,193.67133258655667,193.67133378982544
37,arxiv,2,6,0.7000000000000001,0.9472227712986756,0.9871636554719256,0.9947800375529394,172.34244042634964,172.3424413204193
38,arxiv,2,6,0.8,0.9495268138801262,0.9893140729153591,0.9954250501425039,159.93796210736036,159.93796300888062
39,arxiv,2,6,0.9,0.9573964497041421,0.9874116715042517,0.9937294382999446,143.22463699802756,143.2246379852295
40,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
41,arxiv,2,6,0.1,0.7752637515758742,0.7795247140210482,0.8967312624021804,211.0394789725542,211.03948044776917
42,arxiv,2,6,0.2,0.8438133874239351,0.8997322185360361,0.9549856951856147,208.841447789222,208.84144949913025
43,arxiv,2,6,0.30000000000000004,0.8871904355251922,0.9495150660223455,0.9774103155754532,206.7190055884421,206.71900725364685
44,arxiv,2,6,0.4,0.9174465569894592,0.9688143987379593,0.9866059704189006,200.07408353686333,200.07408452033997
45,arxiv,2,6,0.5,0.9245171228818581,0.9731651099905093,0.9881455610794855,196.06503462791443,196.06503558158875
46,arxiv,2,6,0.6000000000000001,0.9400720937218384,0.9806683776715525,0.9911521595203165,188.9478792771697,188.94788074493408
47,arxiv,2,6,0.7000000000000001,0.9406610911987257,0.9844642149442779,0.9936268591183145,174.69642840325832,174.6964292526245
48,arxiv,2,6,0.8,0.9435483870967742,0.9858368180492073,0.9938020858734237,165.72620595991611,165.72620701789856
49,arxiv,2,6,0.9,0.958743842364532,0.988595953178967,0.9941821772375733,144.92385622859,144.92385721206665
50,celegans,1,2,-inf,-inf,-inf,-inf,inf,inf
51,celegans,1,2,0.1,0.5609302325581396,0.5387502396013035,0.401712122889895,9.968714699149132,9.96871566772461
52,celegans,1,2,0.2,0.5826359832635983,0.5657082002129926,0.39830233901347073,9.255772739648819,9.255773544311523
53,celegans,1,2,0.30000000000000004,0.6082474226804123,0.6020871714478608,0.4499562296447181,9.063026253134012,9.063026905059814
54,celegans,1,2,0.4,0.5837837837837838,0.5896351267779839,0.42426329015091413,8.347693786025047,8.347694396972656
55,celegans,1,2,0.5,0.6603119584055459,0.6836198286285022,0.5205794972704989,8.032740723341703,8.03274130821228
56,celegans,1,2,0.6000000000000001,0.6401673640167364,0.6988285410010651,0.5232166988760525,8.180891286581755,8.1808922290802
