,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
0,london,1,2,{'emb'},0.05,0.0,[-1.25650709],0.19553072625698323,0.4392857142857143,0.7783387497352043
1,london,1,2,{'emb'},0.05,0.0,[-1.4078299],0.1977715877437326,0.4411678403755868,0.7769198772361119
2,london,1,2,{'emb'},0.05,0.0,[-0.9554936],0.1787709497206704,0.3867559523809524,0.7244965432560853
3,london,1,2,{'emb'},0.05,0.0,[-0.92086379],0.19047619047619047,0.4209240789741502,0.7673429926763381
4,london,1,2,{'emb'},0.05,0.0,[-1.31780666],0.18487394957983194,0.3582213891492242,0.7334021722356778
5,london,1,2,{'emb'},0.05,0.0,[-0.68223218],0.19832402234636873,0.41203317465770234,0.7549465422850603
6,london,1,2,{'emb'},0.05,0.0,[-0.39180332],0.192090395480226,0.3649218428630193,0.7377767695336663
7,london,1,2,{'emb'},0.05,0.0,[-0.89214782],0.19263456090651557,0.35925699122269855,0.7224640739083554
8,london,1,2,{'emb'},0.05,0.0,[-0.80853901],0.19658119658119658,0.41946757117894956,0.7700291483991872
9,london,1,2,{'emb'},0.05,0.0,[-1.40930458],0.19263456090651557,0.40846233230134166,0.7624096595923158
10,london,1,2,{'emb'},0.14,0.0,[-1.66148611],0.1702127659574468,0.35047169811320755,0.7115245638736734
11,london,1,2,{'emb'},0.14,0.0,[-0.39818779],0.1794871794871795,0.251088631339184,0.682155302053498
12,london,1,2,{'emb'},0.14,0.0,[-0.40472318],0.146875,0.2686921730432608,0.6827592238721492
13,london,1,2,{'emb'},0.14,0.0,[-0.96407924],0.19444444444444445,0.2767743112570699,0.6975120383901772
14,london,1,2,{'emb'},0.14,0.0,[-1.47911618],0.18126888217522658,0.29955630171483394,0.7037615092002263
15,london,1,2,{'emb'},0.14,0.0,[-1.29353969],0.20481927710843373,0.3702618980568854,0.7322932488067626
16,london,1,2,{'emb'},0.14,0.0,[0.],0.18354430379746836,0.5,0.9082278481012658
17,london,1,2,{'emb'},0.14,0.0,[-0.08170595],0.19939577039274925,0.3461978273299028,0.725014111437407
18,london,1,2,{'emb'},0.14,0.0,[0.],0.18153846153846154,0.5,0.9092307692307693
19,london,1,2,{'emb'},0.14,0.0,[-1.67521636],0.18885448916408668,0.35786679536679533,0.7146043742822972
20,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.17770034843205576,0.5,0.9111498257839721
21,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.1936619718309859,0.5,0.903169014084507
22,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.18493150684931506,0.5,0.9075342465753424
23,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.18556701030927836,0.5,0.9072164948453608
24,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.19784172661870503,0.5,0.9010791366906474
25,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.1888111888111888,0.5,0.9055944055944056
26,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.1916376306620209,0.5,0.9041811846689896
27,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.21428571428571427,0.5,0.8928571428571428
28,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.20689655172413793,0.5,0.896551724137931
29,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.17465753424657535,0.5,0.9126712328767124
30,london,1,2,{'emb'},0.32,0.0,[0.],0.188,0.5,0.906
31,london,1,2,{'emb'},0.32,0.0,[0.],0.1935483870967742,0.5,0.9032258064516129
32,london,1,2,{'emb'},0.32,0.0,[0.],0.2015810276679842,0.5,0.8992094861660079
33,london,1,2,{'emb'},0.32,0.0,[0.],0.22040816326530613,0.5,0.889795918367347
34,london,1,2,{'emb'},0.32,0.0,[0.],0.19838056680161945,0.5,0.9008097165991903
35,london,1,2,{'emb'},0.32,0.0,[0.],0.17120622568093385,0.5,0.9143968871595332
36,london,1,2,{'emb'},0.32,0.0,[0.],0.21544715447154472,0.5,0.8922764227642277
37,london,1,2,{'emb'},0.32,0.0,[0.],0.21153846153846154,0.5,0.8942307692307692
38,london,1,2,{'emb'},0.32,0.0,[0.],0.17391304347826086,0.5,0.9130434782608696
39,london,1,2,{'emb'},0.32,0.0,[0.],0.17886178861788618,0.5,0.910569105691057
40,london,1,2,{'emb'},0.41,0.0,[0.],0.1965065502183406,0.5,0.9017467248908297
41,london,1,2,{'emb'},0.41,0.0,[0.],0.15789473684210525,0.5,0.9210526315789473
42,london,1,2,{'emb'},0.41,0.0,[0.],0.18807339449541285,0.5,0.9059633027522935
43,london,1,2,{'emb'},0.41,0.0,[0.],0.1926605504587156,0.5,0.9036697247706422
44,london,1,2,{'emb'},0.41,0.0,[0.],0.18518518518518517,0.5,0.9074074074074074
45,london,1,2,{'emb'},0.41,0.0,[0.],0.16589861751152074,0.5,0.9170506912442397
46,london,1,2,{'emb'},0.41,0.0,[0.],0.21212121212121213,0.5,0.8939393939393939
47,london,1,2,{'emb'},0.41,0.0,[0.],0.20952380952380953,0.5,0.8952380952380952
48,london,1,2,{'emb'},0.41,0.0,[0.],0.196,0.5,0.902
