,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
0,london,1,2,{'emb'},0.05,0.0,[1.59626907],0.8044692737430168,0.3902777777777778,0.7308430087793656
1,london,1,2,{'emb'},0.14,0.0,[2.13183368],0.8054711246200608,0.3363207547169811,0.7092788243071461
2,london,1,2,{'emb'},0.22999999999999998,0.0,[2.30621013],0.8222996515679443,0.151296111665005,0.6636975030248512
3,london,1,2,{'emb'},0.32,0.0,[2.81899836],0.812,0.11476784404150508,0.6477955730481557
4,london,1,2,{'emb'},0.41,0.0,[3.03765354],0.8034934497816594,0.1291062801932367,0.6340513146995087
5,london,1,2,{'emb'},0.49999999999999994,0.0,[3.07106837],0.8080808080808081,0.07927631578947368,0.625161700915746
6,london,1,2,{'emb'},0.5900000000000001,0.0,[3.17450259],0.8165680473372781,0.10635811126694716,0.6471059666168042
7,london,1,2,{'emb'},0.68,0.0,[3.54123433],0.7886178861788617,0.10229976209357651,0.6070595560679459
8,london,1,2,{'emb'},0.77,0.0,[3.77160364],0.7804878048780488,0.022569444444444448,0.5759281177479083
9,london,1,2,{'emb'},0.86,0.0,[3.92009788],0.8035714285714286,0.0202020202020202,0.6045348439470076
10,london,1,2,{'emb'},0.95,0.0,[4.24474075],0.9230769230769231,0.0,0.7798606486106486
11,london,1,2,{'deg'},0.05,0.0,[1.9383176],0.2988826815642458,0.5847718253968254,0.8961922424849399
12,london,1,2,{'deg'},0.14,0.0,[3.15136534],0.44680851063829785,0.6972877358490566,0.9256204967128008
13,london,1,2,{'deg'},0.22999999999999998,0.0,[3.8283048],0.5818815331010453,0.8502409438351611,0.9570634579848118
14,london,1,2,{'deg'},0.32,0.0,[4.23444093],0.732,0.9021066974111729,0.9744678766061553
15,london,1,2,{'deg'},0.41,0.0,[4.25319533],0.8034934497816594,0.9321859903381642,0.9814624759409954
16,london,1,2,{'deg'},0.49999999999999994,0.0,[4.31094477],0.8686868686868687,0.9624177631578947,0.9908164939747571
17,london,1,2,{'deg'},0.5900000000000001,0.0,[4.4330083],0.8757396449704142,0.9621318373071528,0.9913218566139991
18,london,1,2,{'deg'},0.68,0.0,[4.4063945],0.9024390243902439,0.9583663758921491,0.9879548719299653
19,london,1,2,{'deg'},0.77,0.0,[4.3949447],0.9878048780487805,1.0,1.0
20,london,1,2,{'deg'},0.86,0.0,[4.37833655],0.9285714285714286,0.9868686868686869,0.9967736170713603
21,london,1,2,{'deg'},0.95,0.0,[4.41788217],0.9230769230769231,1.0,1.0
22,london,1,2,"{'emb', 'imb'}",0.05,1.6605535485103677,[0.34800357],0.8044692737430168,0.3902777777777778,0.7308430087793656
23,london,1,2,"{'emb', 'imb'}",0.14,0.9994889297908592,[0.90569453],0.8054711246200608,0.3363207547169811,0.7092788243071461
24,london,1,2,"{'emb', 'imb'}",0.22999999999999998,-0.39382906369719006,[2.89037828],0.8222996515679443,0.151296111665005,0.6636975030248512
25,london,1,2,"{'emb', 'imb'}",0.32,-0.6147529502233535,[3.76847577],0.812,0.11476784404150508,0.6477955730481557
26,london,1,2,"{'emb', 'imb'}",0.41,-0.7639750460410955,[4.22771319],0.7991266375545851,0.1291062801932367,0.6340513146995087
27,london,1,2,"{'emb', 'imb'}",0.49999999999999994,-1.076173350571968,[4.78483672],0.7676767676767676,0.07927631578947368,0.625161700915746
28,london,1,2,"{'emb', 'imb'}",0.5900000000000001,-1.565881598783156,[5.73093017],0.6568047337278107,0.10635811126694716,0.6471059666168042
29,london,1,2,"{'emb', 'imb'}",0.68,-1.869718189369941,[6.66125381],0.5121951219512195,0.10229976209357651,0.6070595560679459
30,london,1,2,"{'emb', 'imb'}",0.77,-1.899714909976234,[7.01220353],0.32926829268292684,0.022569444444444448,0.5759281177479083
31,london,1,2,"{'emb', 'imb'}",0.86,-2.225260817371585,[7.77681994],0.16071428571428573,0.0202020202020202,0.6045348439470076
32,london,1,2,"{'emb', 'imb'}",0.95,-2.273400645418833,[8.26537578],0.0,0.0,0.7798606486106486
33,london,1,2,"{'deg', 'imb'}",0.05,1.4040121837482074,[1.39820551],0.8044692737430168,0.5847718253968254,0.8961922424849399
34,london,1,2,"{'deg', 'imb'}",0.14,0.9417807602261664,[2.81556367],0.8145896656534954,0.6972877358490566,0.9256204967128008
35,london,1,2,"{'deg', 'imb'}",0.22999999999999998,0.6993902246674857,[3.59984008],0.9059233449477352,0.8502409438351611,0.9570634579848118
36,london,1,2,"{'deg', 'imb'}",0.32,0.7848585030845193,[3.88693528],0.9,0.9021066974111729,0.9744678766061553
37,london,1,2,"{'deg', 'imb'}",0.41,0.9800089722818588,[3.89005173],0.8908296943231441,0.9321859903381642,0.9814624759409954
38,london,1,2,"{'deg', 'imb'}",0.49999999999999994,0.6889761554341568,[4.02903939],0.9141414141414141,0.9624177631578947,0.9908164939747571
39,london,1,2,"{'deg', 'imb'}",0.5900000000000001,0.7201879025453524,[4.18543639],0.9349112426035503,0.9621318373071528,0.9913218566139991
40,london,1,2,"{'deg', 'imb'}",0.68,0.7809178763797581,[4.12604614],0.9186991869918699,0.9583663758921491,0.9879548719299653
41,london,1,2,"{'deg', 'imb'}",0.77,0.3853874638755936,[4.22179342],0.9878048780487805,1.0,1.0
42,london,1,2,"{'deg', 'imb'}",0.86,0.5146683047953174,[4.21518321],0.9464285714285714,0.9868686868686869,0.9967736170713603
43,london,1,2,"{'deg', 'imb'}",0.95,0.5817620414981612,[4.24438566],1.0,1.0,1.0
44,london,1,2,"{'deg', 'emb'}",0.05,0.0,[1.04809516 1.59180355],0.8044692737430168,0.5359623015873016,0.8341131553644394
45,london,1,2,"{'deg', 'emb'}",0.14,0.0,[1.11769407 2.81068942],0.8358662613981763,0.6757075471698114,0.8942282817829903
46,london,1,2,"{'deg', 'emb'}",0.22999999999999998,0.0,[1.05325006 3.51506515],0.9024390243902439,0.8227816550348953,0.9463960682839065
47,london,1,2,"{'deg', 'emb'}",0.32,0.0,[1.29043092 3.76858953],0.904,0.8786290745204905,0.9654351926565642
48,london,1,2,"{'deg', 'emb'}",0.41,0.0,[1.44868271 3.74828406],0.9039301310043668,0.9217391304347826,0.978392400666016
49,london,1,2,"{'deg', 'emb'}",0.49999999999999994,0.0,[1.15903133 3.92079725],0.9242424242424242,0.9620065789473684,0.9905366683054212
50,london,1,2,"{'deg', 'emb'}",0.5900000000000001,0.0,[1.26144358 4.03591998],0.9349112426035503,0.9616643291257597,0.9910180261962429
51,london,1,2,"{'deg', 'emb'}",0.68,0.0,[1.27095632 3.98195864],0.926829268292683,0.9595559080095163,0.9884482795964518
52,london,1,2,"{'deg', 'emb'}",0.77,0.0,[1.05182199 4.04958757],0.9878048780487805,1.0,1.0
53,london,1,2,"{'deg', 'emb'}",0.86,0.0,[0.99639022 4.08102131],0.9464285714285714,0.9878787878787878,0.9969752317837316
54,london,1,2,"{'deg', 'emb'}",0.95,0.0,[1.10079705 4.08545879],1.0,1.0,1.0
55,london,1,2,"{'deg', 'emb', 'imb'}",0.05,1.273771054946825,[0.23648104 1.3848887 ],0.8044692737430168,0.5364087301587301,0.8347948356169692
