,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,london,1,2,{'emb'},0.05,0.0,[-0.03068791],0.19553072625698323,0.4257440476190476,0.7483198478988731,-12.0
1,london,1,2,{'emb'},0.05,0.0,[-0.07763908],0.19553072625698323,0.45902777777777776,0.7902372409658535,-9.75
2,london,1,2,{'emb'},0.05,0.0,[-0.05912542],0.19553072625698323,0.4104662698412698,0.757659086425365,-7.5
3,london,1,2,{'emb'},0.05,0.0,[-0.10387239],0.19553072625698323,0.44697420634920637,0.7758317276225253,-5.25
4,london,1,2,{'emb'},0.05,0.0,[-0.07940585],0.19553072625698323,0.4454365079365079,0.7705808893708832,-3.0
5,london,1,2,{'emb'},0.14,0.0,[-0.21282413],0.1945288753799392,0.2976415094339623,0.6937092144824669,-12.0
6,london,1,2,{'emb'},0.14,0.0,[-0.21789218],0.1945288753799392,0.29339622641509433,0.6922550284024807,-9.75
7,london,1,2,{'emb'},0.14,0.0,[-0.21292166],0.1945288753799392,0.3285966981132075,0.7107410417070581,-7.5
8,london,1,2,{'emb'},0.14,0.0,[-0.2225701],0.1945288753799392,0.27942216981132073,0.6928476751171474,-5.25
9,london,1,2,{'emb'},0.14,0.0,[-0.23341596],0.1945288753799392,0.3172169811320755,0.7014476808273693,-3.0
10,london,1,2,{'emb'},0.22999999999999998,0.0,[0.],0.17770034843205576,0.5,0.9111498257839721,-12.0
11,london,1,2,{'emb'},0.22999999999999998,0.0,[6.85242707e-08],0.8222996515679443,0.8619973413094051,0.9638185323443589,-9.75
12,london,1,2,{'emb'},0.22999999999999998,0.0,[3.15665809e-07],0.8222996515679443,0.8180458624127618,0.9474062250523704,-7.5
13,london,1,2,{'emb'},0.22999999999999998,0.0,[2.96071378e-05],0.8222996515679443,0.8346626786307744,0.9534090094168546,-5.25
14,london,1,2,{'emb'},0.22999999999999998,0.0,[0.00251715],0.8222996515679443,0.8734629444998339,0.9657079339119296,-3.0
15,london,1,2,{'emb'},0.32,0.0,[0.],0.188,0.5,0.906,-12.0
