system,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.7289491997216423,0.7923357864283178,0.7806589285916441,-0.0424536605340051,-17.6924621911901,-12.45730415689076
LFR,0.05,HOPE,0.2,2.1,1.0,1,0.697282788542854,0.7596135219645639,0.7507982375380249,-0.06321984565339907,-12.140254074182632,-13.159584436595965
LFR,0.05,HOPE,0.3,2.1,1.0,1,0.6954363288442792,0.754288254661641,0.7410753378669933,-0.06231664274274566,-15.179702191107179,-13.129327883205502
LFR,0.05,HOPE,0.4,2.1,1.0,1,0.6875160074640518,0.7417627440933736,0.7241803867790209,-0.0221130541635533,-15.981298005299296,-14.444974932550805
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6661595029795867,0.714743276166055,0.6905937905734414,0.02920423411031815,-15.903688648267476,-13.22140272833893
LFR,0.05,HOPE,0.3,2.7,1.0,1,0.6191801897505403,0.66475985887847,0.6565053531094204,-0.010267427299135327,-14.858503950387941,-6.492437642405762
LFR,0.05,HOPE,0.1,4.0,1.0,1,0.6567781586100934,0.7180513874446783,0.7138939083611928,-0.009051522559629396,-16.751938790681056,0.884216056054455
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.73061568325825,0.7943952929751548,0.7828298871145076,-0.041302446822715624,-18.99841400513699,-11.89922776724435
LFR,0.05,HOPE,0.2,2.1,1.0,1,0.7042320844210759,0.7676263025842682,0.7552515159713331,-0.07623309353840094,-12.899475829694582,-13.106551885167192
LFR,0.05,HOPE,0.3,2.1,1.0,1,0.7069357692168827,0.7682944044824973,0.7549431623875755,-0.06422000513637895,-19.206366529509108,-13.444087826303704
LFR,0.05,HOPE,0.4,2.1,1.0,1,0.6923273938019099,0.747996281540659,0.729202730295222,-0.011480019076497037,-16.232762554928186,-13.877115726778811
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6660145990689924,0.7110169143960416,0.6848248406104258,0.028237289040787216,-14.107555109299433,-13.012252398479955
LFR,0.05,HOPE,0.3,2.7,1.0,1,0.6180812483973772,0.6641326208280864,0.6572496842459663,-0.014556506056407409,-15.853300391686304,-6.592773143146912
LFR,0.05,HOPE,0.1,4.0,1.0,1,0.6618142420959322,0.7245614355318947,0.7225596598237672,-0.005234723057702888,-17.52060937752055,1.187711870370397
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.7219353184631725,0.7827495345187779,0.7680578873426879,-0.05351800082916142,-16.33510446447017,-12.134487611066692
LFR,0.05,HOPE,0.2,2.1,1.0,1,0.6998933705923448,0.7604017729856932,0.7507988135733002,-0.05372854753804734,-12.531301314067992,-12.79513756210043
LFR,0.05,HOPE,0.3,2.1,1.0,1,0.6962125862006715,0.7548276239200913,0.7419707680982233,-0.05173692323459847,-15.972459836647689,-13.787888797447428
LFR,0.05,HOPE,0.4,2.1,1.0,1,0.6827777981047163,0.737470073990022,0.7210369061101771,-0.012325455544607379,-16.114314418483517,-13.034789163998594
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6701443605209295,0.7171340857435788,0.6899259674389804,0.0397010463093571,-14.386238891663698,-13.555784729734038
LFR,0.05,HOPE,0.3,2.7,1.0,1,0.6288875050368146,0.6790298318101505,0.6730231055287239,-0.021964482075480667,-16.393032040126187,-6.333759395345775
LFR,0.05,HOPE,0.1,4.0,1.0,1,0.6567713976164681,0.7182113684095505,0.7165456820577252,-0.0086327448220029,-17.416517324593574,0.9542042940338255
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.7353221257737245,0.7941333518627175,0.7798575881044032,-0.028794223796390378,-16.78713304709662,-11.654519345322672
LFR,0.05,HOPE,0.2,2.1,1.0,1,0.7029635621575909,0.7666437788777558,0.7565033046608256,-0.04964814871902653,-13.633101399579916,-13.360121026808343
LFR,0.05,HOPE,0.3,2.1,1.0,1,0.695237751381016,0.7543192314084466,0.7448392203818075,-0.052885586643221655,-16.036184616467203,-13.099382078755706
LFR,0.05,HOPE,0.4,2.1,1.0,1,0.6863634700523216,0.7418851162642922,0.7235074215767009,-0.01235821213785316,-17.92968426169291,-13.164504701307989
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6685685304932167,0.7170437783410915,0.6910166299839889,0.044997427351993136,-15.154846901950783,-13.409301148475569
LFR,0.05,HOPE,0.3,2.7,1.0,1,0.6207736547126268,0.6713594796069008,0.6696339596928857,-0.02393963432651813,-15.583619625277231,-6.750826017416712
LFR,0.05,HOPE,0.1,4.0,1.0,1,0.6528316753668867,0.7103595131429881,0.708638842102171,-0.015818606120067604,-15.892508856239624,0.5013038912668171
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.7289308867157456,0.7950123037066673,0.7863926248111747,-0.04095041355902237,-18.736977619756647,-11.427269906903012
LFR,0.05,HOPE,0.2,2.1,1.0,1,0.7035886310990183,0.763373630387809,0.7497789205737876,-0.029442450851424377,-12.561013048266597,-13.438451161604977
LFR,0.05,HOPE,0.3,2.1,1.0,1,0.6953460663609777,0.7536215226504591,0.7385941910384783,-0.06306374595234279,-15.330705447210612,-13.162440000886956
LFR,0.05,HOPE,0.4,2.1,1.0,1,0.6843328088983206,0.7408403181713392,0.7223773061510028,-0.02711844905837664,-16.617106862374477,-13.479181466257081
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6823286688195191,0.7326938194902289,0.7061536618797486,-0.014813379123569998,-15.531193334846693,-14.210995031919174
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7667787829583237,0.842269878274979,0.8347893563084965,-0.05262172103616559,-14.500988710805332,-10.475972906533272
LFR,0.10,HOPE,0.2,2.1,1.0,1,0.7405301560195606,0.8118359435987905,0.8045223135833585,-0.0587742153205671,-10.76086746988,-11.959616572440197
LFR,0.10,HOPE,0.3,2.1,1.0,1,0.735222378901635,0.8025716782338423,0.7927855054538181,-0.05543908428087125,-12.803613608203651,-11.385357477974129
LFR,0.10,HOPE,0.4,2.1,1.0,1,0.7212374000695169,0.7862238014123609,0.7731654905227121,-0.014193928754758904,-13.197135049817238,-12.24365414892255
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7033630958071239,0.7602269226300522,0.7391484177718481,0.03773057929093754,-13.077287985210857,-11.76277179334656
LFR,0.10,HOPE,0.3,2.7,1.0,1,0.6468370582321553,0.7062624979620779,0.7022296111230188,-0.003347200171375124,-13.369665697083878,-6.235396921872333
LFR,0.10,HOPE,0.1,4.0,1.0,1,0.6938143258134941,0.7679598465974011,0.7673846395608184,-0.015685293739413336,-14.633792773973841,0.6320908372599606
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7692337431377098,0.8430857186993075,0.8361775306226048,-0.044275098913922534,-15.474920148192696,-10.143364638109617
LFR,0.10,HOPE,0.2,2.1,1.0,1,0.7374835053947062,0.8092540424168365,0.8012093241138658,-0.0734198093832961,-10.810218813691051,-11.411396969823452
LFR,0.10,HOPE,0.3,2.1,1.0,1,0.7340028202294294,0.8041876695836394,0.7972734173898934,-0.06596889688328243,-12.855890956526538,-11.914433793964367
LFR,0.10,HOPE,0.4,2.1,1.0,1,0.7209284362569034,0.7860160237555025,0.7740692137440551,-0.010798362532158075,-13.112014846648147,-11.652422863433767
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7065369099286848,0.7622070661286121,0.742702728186316,0.026497150529917107,-13.11983142941538,-11.882326320398299
LFR,0.10,HOPE,0.3,2.7,1.0,1,0.642951047869461,0.7013815964870825,0.6959838980679093,-0.01189857672492463,-13.693140057074118,-5.8445344950566
LFR,0.10,HOPE,0.1,4.0,1.0,1,0.7019316740481982,0.7776870897955048,0.7788901433812181,-0.015451478616220397,-15.651508917144655,1.0471824890336627
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7538660790226552,0.8214792319633603,0.8100717258815384,-0.040662516593395474,-11.313240208934623,-10.727161608818752
LFR,0.10,HOPE,0.2,2.1,1.0,1,0.736707288674998,0.808535683456231,0.8041068840952295,-0.05297229261939337,-10.801845484077928,-11.192674685253099
LFR,0.10,HOPE,0.3,2.1,1.0,1,0.7308967567361561,0.7977390378491563,0.7893401255082011,-0.03562786390652975,-12.032501913462886,-11.633895827944622
LFR,0.10,HOPE,0.4,2.1,1.0,1,0.7210249874483451,0.7840641705536566,0.7742683462803306,-0.010747360279751738,-12.736068012866017,-11.419863681697832
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7033248570827677,0.7635928428465093,0.7443697523201084,0.045334859413438636,-12.983208855214228,-12.06647929993121
LFR,0.10,HOPE,0.3,2.7,1.0,1,0.6497177325806203,0.7124575881811817,0.7101257058764916,-0.013151848159328128,-13.919337996794635,-5.683245988776392
LFR,0.10,HOPE,0.1,4.0,1.0,1,0.6993949223379702,0.7711426666397064,0.7704342586794973,-0.013830366285671957,-15.296550553614908,0.6063774384318181
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7627967215649888,0.83427715373768,0.8315950232752427,-0.023439867941231783,-12.731975185918422,-10.433228970020405
LFR,0.10,HOPE,0.2,2.1,1.0,1,0.7393852363579911,0.8091484762199413,0.8008566391959627,-0.022008497498954088,-10.438418586409332,-12.091900528143542
LFR,0.10,HOPE,0.3,2.1,1.0,1,0.7327070391402112,0.8017634094956716,0.7939545533856228,-0.04182854022302252,-12.888146706328545,-11.955489443913004
LFR,0.10,HOPE,0.4,2.1,1.0,1,0.723458077472676,0.7874015074371623,0.7761948393486319,-0.010930397853943282,-13.788406099699476,-11.988450644976872
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7022732921629734,0.7580102206789461,0.7376040647861992,0.045694127631017364,-12.781975431814969,-11.915163164205334
LFR,0.10,HOPE,0.3,2.7,1.0,1,0.6479970613254968,0.7093065589241593,0.7087425001403981,-0.019584878517649895,-13.267497712446668,-6.240190247322823
LFR,0.10,HOPE,0.1,4.0,1.0,1,0.703158463809702,0.7748561380383071,0.7751384758059618,-0.015479514704750036,-15.00204336957432,0.7074374028889693
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7671847212557025,0.8401596621583217,0.8349286638286821,-0.02748832077934208,-13.97245144668525,-10.857564168029068
LFR,0.10,HOPE,0.2,2.1,1.0,1,0.7382791275324071,0.8103918192939521,0.8035136198218511,-0.03900035752051106,-11.004412407127628,-11.421715180392463
LFR,0.10,HOPE,0.3,2.1,1.0,1,0.736137047905789,0.80097891033436,0.7914191885379912,-0.05249561971056474,-12.584475140076508,-11.717257113506856
LFR,0.10,HOPE,0.4,2.1,1.0,1,0.7216815355501487,0.7860984940521416,0.77319839190646,-0.02807514174605051,-13.697995684908644,-11.646493704260688
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7170397303336742,0.7767901191661114,0.7572196137330716,-0.006592276788941329,-13.524603955093381,-12.145119169192991
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.7797904130336895,0.8590865630947808,0.8558019157190278,-0.02709711415559289,-11.077479045894844,-9.210565281867412
LFR,0.15,HOPE,0.2,2.1,1.0,1,0.7593079641653653,0.836746819212198,0.8321955734025424,-0.06105621333344636,-9.485655025504665,-10.342265695171172
LFR,0.15,HOPE,0.3,2.1,1.0,1,0.7556797546507404,0.8297800829206792,0.8247892893843585,-0.04491616067259157,-11.511762526420986,-9.919157123209517
LFR,0.15,HOPE,0.4,2.1,1.0,1,0.7370573321338022,0.8102563905067554,0.8014832565398643,-0.0018640536923362227,-11.882485207069667,-10.686516978074842
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7203563113675473,0.786398149495763,0.7713274692272267,0.04513610068087095,-12.414626104112932,-10.191774086175027
LFR,0.15,HOPE,0.3,2.7,1.0,1,0.6641965199590584,0.7298046194510591,0.7270606703193108,-0.0051261492504176024,-12.190465149984833,-5.620387697911802
LFR,0.15,HOPE,0.1,4.0,1.0,1,0.7229157034982278,0.80310761381604,0.8045326342605872,-0.014164252718752709,-14.0796163379222,0.46689846771778837
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.7829424045192189,0.8620538504494015,0.8562082000519372,-0.03353784695496473,-11.70191620684,-8.970699906497765
LFR,0.15,HOPE,0.2,2.1,1.0,1,0.7579312895537108,0.8356196094448423,0.829957499595287,-0.06678810101857607,-9.772965003218937,-9.997332812210265
LFR,0.15,HOPE,0.3,2.1,1.0,1,0.7579395504620475,0.8326651193684715,0.8297721176719961,-0.055282480698003664,-11.6734008455883,-10.245858379089524
LFR,0.15,HOPE,0.4,2.1,1.0,1,0.7355442872331724,0.8077295999374019,0.8001742509286449,-0.00042316421629525153,-11.305283084574057,-10.276120596893806
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7254580423119749,0.7887417817207993,0.7731548263423297,0.0261937542807598,-11.879445759317539,-10.531358162778059
LFR,0.15,HOPE,0.3,2.7,1.0,1,0.6624360286591607,0.7288377275074932,0.7273184884326112,-0.0026375061997613853,-12.245028458631662,-5.3826921629170155
LFR,0.15,HOPE,0.1,4.0,1.0,1,0.7266682811915194,0.807143759100867,0.8081726006899552,-0.03146071310343931,-14.152458914372811,0.7170172199080643
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.7779278726104221,0.855703376000646,0.8498640595704239,-0.04217180510514177,-10.643337478702081,-9.437606451822344
LFR,0.15,HOPE,0.2,2.1,1.0,1,0.7569450152050629,0.8345683964514847,0.8319764401453619,-0.029106971455321682,-9.537005991148742,-10.069692468088773
LFR,0.15,HOPE,0.3,2.1,1.0,1,0.7538234938057383,0.8271237705672825,0.8213734345888003,-0.038319372908896684,-11.201681672463714,-10.426399167316308
LFR,0.15,HOPE,0.4,2.1,1.0,1,0.7415146806248466,0.811530463082596,0.8053119294744181,-0.0036718773425564585,-11.370707194867675,-10.220402596677234
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7242230995039984,0.7875328366393892,0.7726120393999427,0.05325003945153102,-12.385918015225052,-10.387165918428648
LFR,0.15,HOPE,0.3,2.7,1.0,1,0.6642784032753326,0.7341225002069083,0.7343407991840747,-0.0006773692616723723,-12.300440839889308,-5.355087677203773
LFR,0.15,HOPE,0.1,4.0,1.0,1,0.7304330595979833,0.809117575546797,0.8088983665407812,-0.016363094148851974,-14.942297832198355,0.6138268308312284
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.7748168160792501,0.8534603084040366,0.8520126593543005,-0.04277276673428202,-10.153336968659032,-9.145722301916724
LFR,0.15,HOPE,0.2,2.1,1.0,1,0.7609106599819183,0.8390307856360426,0.8353953044948693,-0.018038420220523408,-9.982832806476782,-10.343810916952364
LFR,0.15,HOPE,0.3,2.1,1.0,1,0.7539445542956297,0.8295130554911581,0.8243858127108916,-0.04726995181605728,-11.606342984545773,-10.488997069957222
LFR,0.15,HOPE,0.4,2.1,1.0,1,0.7430686186308988,0.8123446445774422,0.8037056034557916,-0.01152425898473095,-11.656323529978343,-10.614963629171012
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7260249013058002,0.7889675498572463,0.7718000411403108,0.04069564927550482,-12.175595184900116,-10.685071028651505
LFR,0.15,HOPE,0.3,2.7,1.0,1,0.6685363357215968,0.7343599836149557,0.7364757373951594,-0.011462329366469253,-12.025742197214509,-5.664982917070812
LFR,0.15,HOPE,0.1,4.0,1.0,1,0.7324805706611479,0.8112896230522041,0.8131879077426538,-0.007704755584827034,-14.794712224316003,0.6002853974624129
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.780179295100086,0.8591522342968859,0.8541245174468258,-0.011624371486139068,-11.372722878427943,-9.336227374352697
LFR,0.15,HOPE,0.2,2.1,1.0,1,0.7595339853702638,0.8402254334420216,0.8364986476124902,-0.025925693501390963,-10.332634677697794,-9.956164297244923
LFR,0.15,HOPE,0.3,2.1,1.0,1,0.7553367499293814,0.828995662468907,0.8241080496912723,-0.0491608976119938,-11.089169217034684,-10.237100411288145
LFR,0.15,HOPE,0.4,2.1,1.0,1,0.7432117444998774,0.813814057233585,0.8026674686563959,-0.034606379288718916,-11.745319675260188,-10.49369538981309
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7369866859159449,0.8033438750458151,0.78751839147836,-0.0020380029688603744,-12.76689231837724,-10.671154140692202
LFR,0.20,HOPE,0.1,2.1,1.0,1,0.7895572372999304,0.8713864583136599,0.8700878535180134,-0.037953044287497434,-9.49937050607448,-8.286028226558873
LFR,0.20,HOPE,0.2,2.1,1.0,1,0.7723224031786229,0.8538794040635516,0.8532999351064328,-0.06400933392169758,-8.774617636900116,-9.064968607813324
LFR,0.20,HOPE,0.3,2.1,1.0,1,0.7722731949922826,0.8495629344174644,0.8462858130253248,-0.03565689003307801,-10.613282372989717,-8.967284935859437
LFR,0.20,HOPE,0.4,2.1,1.0,1,0.7534975669099757,0.828625649138125,0.8222443347724866,-0.005405626547024655,-10.911612735511252,-9.381771186319725
LFR,0.20,HOPE,0.5,2.1,1.0,1,0.7350239831365211,0.8043079513678448,0.7932680242623482,0.04286696977024113,-11.622800149471642,-9.255509879551253
LFR,0.20,HOPE,0.3,2.7,1.0,1,0.6758014702683892,0.746315125045639,0.7477981136699081,-0.005583595995910924,-11.046772579160697,-5.247666205431824
