,system,embedding,exp-coef_intercept,exp-coef_distances,exp-coef_degrees,proc-coef_intercept,exp-feature_normalization,proc-feature_normalization,exp-feature_distances,exp-feature_degrees,exp-feature_intercept,proc-feature_distances,proc-feature_degrees,proc-feature_intercept
45,arxiv,HOPE,-0.1369210305459852,-1.7284394371898837,-6.672261171892927,-0.2566082520360668,8.537621639628796,8.657308861118878,0.20244975827542458,0.7815128678135036,0.01603737391107185,0.19965089208640047,0.7707084590523201,0.029640648861279484
46,arxiv,HOPE,-0.1354128573804344,-1.7490599053346918,-6.701445436410109,-0.2537817346030877,8.585918199125235,8.704287076347889,0.20371262161720718,0.7805158727336672,0.01577150564912566,0.20094235059036628,0.7699017021876392,0.02915594722199455
47,arxiv,HOPE,-0.0721995117991567,-1.7563836511945423,-6.802557742998309,-0.1353115036219118,8.631140905992009,8.694252897814764,0.20349379882967797,0.7881411990708853,0.008365002099436691,0.20201662774681842,0.7824200449365905,0.015563327316591158
48,arxiv,HOPE,-0.0739312233537723,-1.726515301414442,-6.821991816120808,-0.1385569617760653,8.622438340889023,8.687064079311316,0.20023515775427725,0.7911905596088521,0.008574282636870656,0.19874554690188437,0.7853046499757873,0.0159498031223283
49,arxiv,HOPE,-0.0363424719795705,-2.171786684843039,-6.992827908541521,-0.0681106340798044,9.20095706536413,9.232725227464364,0.2360392152049554,0.760010927000753,0.003949857794291578,0.23522704633109603,0.7573958648460722,0.007377088822831723
50,arxiv,HOPE,-0.043558009307181,-2.128105067389429,-7.039592251361202,-0.0816335122947567,9.211255328057812,9.249330831045388,0.23103312106734736,0.764238097919005,0.004728781013647709,0.23008205742262372,0.7610920595177333,0.008825883059643047
51,arxiv,HOPE,-0.181915558277723,-1.4903566712768244,-6.609213411750684,-0.3409339912332447,8.281485641305231,8.440504074260753,0.17996247724483547,0.7980709860542626,0.021966536700901873,0.1765719983266941,0.7830353914413033,0.04039261023200258
52,arxiv,HOPE,-0.1883698207088606,-1.4403257672874556,-6.606545832493186,-0.3530301388742021,8.235241420489503,8.399901738654844,0.1748978194742277,0.802228555929875,0.02287362459589737,0.17146935905920593,0.7865027518228035,0.0420278891179906
53,arxiv,HOPE,-0.1016578323745316,-1.8141136322757792,-6.927086330583897,-0.1905203208548954,8.842857795234208,8.931720283714572,0.20515015329698982,0.7833538083488347,0.011496038354175453,0.2031090959692835,0.7755601508495766,0.02133075318113986
191,arxiv,Isomap,-0.2507048921071179,-0.1405065625223081,-7.065294500214112,-0.4698543670316,7.4565059548435375,7.675655429768019,0.018843485591403433,0.9475342128070983,0.03362230160149826,0.01830548072512351,0.9204809367566472,0.06121358251822928
192,arxiv,Isomap,-0.2123338743360653,-0.4012542717084286,-7.104716427155872,-0.3979419678931217,7.718304573200366,7.903912666757423,0.05198735912828198,0.9205022113049276,0.027510429566790395,0.050766536603578515,0.8988859982015186,0.05034746519490285
193,arxiv,Isomap,-0.1875675163627687,-0.3235515337930068,-7.300392875623262,-0.351526513645626,7.811511925779038,7.975470923061895,0.041419834836997856,0.9345684862274851,0.024011678935517033,0.040568329684134916,0.9153557132925436,0.044075957023321455
194,arxiv,Isomap,-0.2359982566433437,-1.4575193765120344,-6.918799035488435,-0.4422921729359072,8.612316668643814,8.818610584936376,0.16923662152584906,0.8033609656596548,0.02740241281449618,0.16527766618946924,0.7845679281163488,0.05015440569418195
267,arxiv,LE,-0.2639840007021593,-1.2097322890412354,-6.981728446794862,-0.4947411855983524,8.455444736538256,8.68620192143445,0.1430713968023061,0.8257080099672264,0.031220593230467553,0.13927056957495398,0.8037722942597553,0.056957136165290745
268,arxiv,LE,-0.2296574626376209,-1.467525952489742,-7.037911855287731,-0.4304086802405844,8.735095270415094,8.935846488018058,0.1680034283610057,0.8057052198531187,0.026291351785875605,0.16422909172147546,0.7876043824974792,0.0481665257810453
269,arxiv,LE,-0.2196686962221433,-1.5466923643709818,-7.178206462399113,-0.4116884012618819,8.944567522992237,9.136587228031978,0.17291974826006623,0.8025213565605438,0.024558895179390028,0.16928556864488445,0.7856551120505528,0.04505931930456275
270,arxiv,LE,-0.2284597904125633,-1.2764217404240097,-7.005515379392623,-0.4281640829354176,8.510396910229197,8.71010120275205,0.1499838084977912,0.8231714047287548,0.026844786773454032,0.14654499536936616,0.8042978165602893,0.049157188070344526
368,arxiv,N2V,-0.1686265922998317,-4.980247651987935,-7.517273658883511,-0.3160286986178187,12.666147903171279,12.813550009489266,0.39319354945642226,0.5934932795946096,0.013313170948968112,0.3886704034635006,0.586665963243323,0.024663633293176335
369,arxiv,N2V,-0.1731602922672393,-4.820297701685882,-7.438816493825676,-0.3245254563419851,12.432274487778797,12.583639651853542,0.3877245234912037,0.5983471890954627,0.013928287413333629,0.38306069110743035,0.5911498341999928,0.025789474692576864
370,arxiv,N2V,-0.1373931466939416,-4.36144848855007,-7.307688693276077,-0.2574930605932475,11.80653032852009,11.926630242419394,0.36940984075689604,0.6189531123825158,0.011637046860588196,0.36568992245921444,0.6127203195488405,0.021589757991944958
