system,N,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,10000,0.30,LE,0.10,2.1,1.0,1,0.7360154033238752,0.8004902301635154,0.7777661845998727,-0.05723718200450637,-0.44694460710318157,-10.08089934474037
LFR,10000,0.30,LE,0.14,2.1,1.0,1,0.7389671127916811,0.8009320577901317,0.7754968924871026,-0.05076112007457506,-0.1770993389639107,-9.864811837371683
LFR,10000,0.30,LE,0.19,2.1,1.0,1,0.7503477718616588,0.8159799254567073,0.7922471911769525,-0.016978426317135472,-0.24589509334537352,-10.17516992605464
LFR,10000,0.30,LE,0.1,2.1,1.0,1,0.7391414525366176,0.8035265083405938,0.780037735711098,-0.045259900097976445,-0.4374277499311764,-10.222686669793605
LFR,10000,0.30,LE,0.23,2.1,1.0,1,0.7314547445982276,0.794728602369161,0.7700522797971399,-0.024892794753968724,-0.29902199646599226,-9.585448549047786
LFR,10000,0.30,LE,0.28,2.1,1.0,1,0.7400962695547533,0.8092393060903325,0.786092232597026,-0.04889658611319097,-0.2013601545226092,-10.035677232125488
LFR,10000,0.30,LE,0.2,2.1,1.0,1,0.7374883125830421,0.8001370746067002,0.7785971766237666,-0.023982269671409817,-0.3146020321517325,-9.790323583447798
LFR,10000,0.30,LE,0.32,2.1,1.0,1,0.7376318705139939,0.801730187932258,0.778514456379111,-0.019038628060545737,-0.23105702130736858,-9.78705102896983
LFR,10000,0.30,LE,0.37,2.1,1.0,1,0.7420362273579013,0.8085549581865279,0.7846103424538978,-0.010972058048343591,-0.19452602322592288,-9.635830854040403
LFR,10000,0.30,LE,0.3,2.1,1.0,1,0.7354951322647262,0.800761713529695,0.7793790186499947,-0.03399205237577488,-0.17624075720416432,-9.652429643151786
LFR,10000,0.30,LE,0.41,2.1,1.0,1,0.7261477045908183,0.7909505094565226,0.7683594958825251,-0.022628125705992843,-0.2552296544666522,-9.155326918046242
LFR,10000,0.30,LE,0.46,2.1,1.0,1,0.7349476281477539,0.8049660950541587,0.7807208785174221,-0.00832432702477251,-0.15517927448319385,-9.405718902299885
LFR,10000,0.30,LE,0.4,2.1,1.0,1,0.7381508515815085,0.8031993090564162,0.7796617032538659,0.01222967221130354,-0.15355291281874786,-9.558011036905157
LFR,10000,0.30,LE,0.50,2.1,1.0,1,0.7316683464024974,0.7956160699774646,0.7723945175962745,-0.017839850743971385,-0.2333940020539063,-9.202392952901606
LFR,10000,0.30,LE,0.5,2.1,1.0,1,0.7324516033692922,0.7963198131139946,0.7730625182650139,-0.01064898696515617,-0.20223955472173616,-9.133105567961566
LFR,10000,0.30,LE,0.10,2.3,1.0,1,0.6788057742782152,0.7300184486308563,0.7018405697552829,-0.05827059255051769,-0.4266354996966547,-8.301039602464508
LFR,10000,0.30,LE,0.14,2.3,1.0,1,0.6912779022729257,0.7455377210619063,0.7153926396162608,-0.06647848805716457,-0.4015592078001034,-8.571558041720646
LFR,10000,0.30,LE,0.19,2.3,1.0,1,0.6769033336317785,0.7304148668901893,0.70238584721379,0.00012463307256796585,-0.44957387469407406,-7.908342052840047
LFR,10000,0.30,LE,0.23,2.3,1.0,1,0.6908474972256293,0.7454769627301886,0.7174338972328558,-0.030915068860403763,-0.122168794489909,-8.228174848175424
LFR,10000,0.30,LE,0.28,2.3,1.0,1,0.6834781067186669,0.7364537411646764,0.7026283530805875,-0.02624650615312081,-0.13189209660517423,-7.856872390209242
LFR,10000,0.30,LE,0.32,2.3,1.0,1,0.6912179637902657,0.7417559636530338,0.7090766925589885,0.007217180869518784,-0.2503174641932561,-7.9937484328210555
LFR,10000,0.30,LE,0.37,2.3,1.0,1,0.6793621894637928,0.7334450715454823,0.7034417763477612,-0.021759181756813076,-0.21419463171654304,-7.8989080385000765
LFR,10000,0.30,LE,0.41,2.3,1.0,1,0.6881231415077838,0.7389048490847017,0.7031537309176554,-0.03468085864547444,-0.22710358352531929,-7.955969711880501
LFR,10000,0.30,LE,0.46,2.3,1.0,1,0.6814009947891995,0.7325369612624404,0.7010512986658748,0.003854470781960787,-0.2220119574073978,-7.810690903539347
LFR,10000,0.30,LE,0.50,2.3,1.0,1,0.6785682299907454,0.7305192052114544,0.7011808905715115,-0.015150954306365155,-0.17939462003647935,-7.635174311305408
LFR,10000,0.30,LE,0.10,2.5,1.0,1,0.6683158431877178,0.7196547131921066,0.7013045815467859,-0.011124269588349616,-0.5256029963682564,-8.600085373263124
LFR,10000,0.30,LE,0.14,2.5,1.0,1,0.6696007059342599,0.720842966727216,0.6945283968187089,-0.009682952042576876,-0.5476640152024254,-8.60679993350307
LFR,10000,0.30,LE,0.19,2.5,1.0,1,0.6677232024115614,0.7174394458268719,0.6912599284240484,-0.004641114375269725,-0.5284099443119613,-8.342781259769012
LFR,10000,0.30,LE,0.23,2.5,1.0,1,0.6615937527730943,0.709572047183904,0.6845630726158461,-0.04439459457120137,-0.45838330860423815,-8.08298346309327
LFR,10000,0.30,LE,0.28,2.5,1.0,1,0.6498686729288162,0.6991748142064838,0.6736970251879209,0.004662602077040768,-0.4858551001881403,-7.889128081106432
LFR,10000,0.30,LE,0.32,2.5,1.0,1,0.654769982358529,0.7004099386756542,0.6736966933056281,-0.05042597588030357,-0.37628038934957814,-7.757243466359387
LFR,10000,0.30,LE,0.37,2.5,1.0,1,0.6650488635115845,0.7184648060273835,0.6924263822260575,-0.015199633886574833,-0.4012706475498051,-8.166000484035639
LFR,10000,0.30,LE,0.41,2.5,1.0,1,0.6690191154503929,0.7193584191877935,0.6951755360827407,0.002694909906290334,-0.2832716764024719,-7.960987498936461
LFR,10000,0.30,LE,0.46,2.5,1.0,1,0.6591521685861309,0.7089880154696482,0.6837249281574749,-0.004593056929490982,-0.32158148032884765,-7.91206912954208
LFR,10000,0.30,LE,0.50,2.5,1.0,1,0.6648825584995798,0.7152406234238354,0.6896094074656779,-0.01936860552853171,-0.3335863092482118,-8.025264917970743
LFR,10000,0.30,LE,0.10,2.7,1.0,1,0.6293030438898022,0.6718943617225657,0.6473191573324077,-0.04815440279864854,-0.6684528926774321,-7.419838506143819
LFR,10000,0.30,LE,0.14,2.7,1.0,1,0.6270849880857824,0.6707903419811193,0.6496755685416378,-0.029567508279067265,-0.613083604713297,-7.405842607319837
LFR,10000,0.30,LE,0.19,2.7,1.0,1,0.6166721035858573,0.6553708342755902,0.6309585003731538,-0.04902258834034418,-0.5783783060301754,-7.010618664054032
LFR,10000,0.30,LE,0.23,2.7,1.0,1,0.6190226483881439,0.6577177879136225,0.6325641236730771,-0.02142194087491939,-0.5170022961859951,-7.017056862494282
LFR,10000,0.30,LE,0.28,2.7,1.0,1,0.6194516809328867,0.6578123522077364,0.633543551887525,0.01953631239273664,-0.5119693272016691,-7.000716667637263
LFR,10000,0.30,LE,0.32,2.7,1.0,1,0.6280969435313741,0.6670353027196251,0.6426492504146827,-0.01443706624972715,-0.4599533504309553,-7.261632407609862
LFR,10000,0.30,LE,0.37,2.7,1.0,1,0.613479161984668,0.6528854290243279,0.627492013216951,-0.013005833872700377,-0.4664386676717696,-6.899824597634426
LFR,10000,0.30,LE,0.3,2.7,1.0,1,0.6166045239870743,0.6532791457817524,0.6268051143433189,0.014570180882303718,-0.3873189178513502,-7.015771581628978
LFR,10000,0.30,LE,0.41,2.7,1.0,1,0.6172381835032438,0.6526411175568702,0.6248516478632278,-0.013757012844512933,-0.4366758601703084,-6.8163096198057715
LFR,10000,0.30,LE,0.46,2.7,1.0,1,0.6117985756856407,0.6468573424925077,0.6216263758692488,-0.007433861449937882,-0.4050633669393949,-6.666429796482149
LFR,10000,0.30,LE,0.50,2.7,1.0,1,0.6158289572393099,0.6513330699549933,0.624707280812199,0.012492266906627494,-0.4077269378648176,-6.7451473487606215
LFR,10000,0.30,LE,0.10,2.9,1.0,1,0.5821679288043778,0.6117329308795362,0.596544601326875,0.004787206845565918,-0.7867808960784521,-6.3348349714631444
LFR,10000,0.30,LE,0.14,2.9,1.0,1,0.586087339368757,0.6126502945187773,0.5907091713521091,-0.007075736684177901,-0.7606960913718505,-6.144711991770156
LFR,10000,0.30,LE,0.19,2.9,1.0,1,0.5892915265270695,0.614435237353274,0.5928599176046156,-0.005671527758316333,-0.6986753405109211,-6.241235761488405
LFR,10000,0.30,LE,0.23,2.9,1.0,1,0.5824018894350919,0.6080130345956625,0.5850344188859602,-0.01613831524121046,-0.5977888839851895,-6.127191810720451
LFR,10000,0.30,LE,0.28,2.9,1.0,1,0.5763620704025783,0.598684611348193,0.5778430982348604,-0.006045488629127613,-0.5277787831020035,-6.191055503883976
LFR,10000,0.30,LE,0.32,2.9,1.0,1,0.5808924926912681,0.6056031169415358,0.5826068875105792,0.018006173880869707,-0.5350536295608097,-6.112961353949083
LFR,10000,0.30,LE,0.37,2.9,1.0,1,0.5759997787488246,0.6001889642179856,0.5760900037576473,-0.04456522478838567,-0.40579997206689444,-5.966323900016624
LFR,10000,0.30,LE,0.41,2.9,1.0,1,0.5742655731409606,0.599813018127581,0.5767841360327001,-0.031574555612880376,-0.3920011798280856,-5.990423811276495
LFR,10000,0.30,LE,0.46,2.9,1.0,1,0.5813681172049453,0.6081795032335016,0.5879232011713372,-0.0013682835822683222,-0.4274028872495247,-6.060179978790186
LFR,10000,0.30,LE,0.50,2.9,1.0,1,0.5827283356445605,0.6082339956182841,0.5846423739084345,0.00227427602335209,-0.43336258211339523,-6.108320247668513
LFR,10000,0.30,LE,0.10,3.1,1.0,1,0.5844508093564206,0.6131939318281894,0.5926775058468088,-0.0008196425517921326,-0.6872469260320161,-6.343789731478056
LFR,10000,0.30,LE,0.14,3.1,1.0,1,0.588847615756738,0.6232902004373588,0.6038025582245244,-0.00866956312988309,-0.7803909484070697,-6.504448107015973
LFR,10000,0.30,LE,0.19,3.1,1.0,1,0.5810001930874686,0.6109594474582138,0.5946528171107736,-0.015586573796844673,-0.609306587926919,-6.478073224388494
LFR,10000,0.30,LE,0.23,3.1,1.0,1,0.5835552956971783,0.6110636446532154,0.5927618331617313,-0.011062769382883888,-0.7055192023048439,-6.4051617250101245
LFR,10000,0.30,LE,0.28,3.1,1.0,1,0.5799564833365648,0.6092242239825595,0.5889919129756337,-0.001367287938931578,-0.6162515778167018,-6.420845189636366
LFR,10000,0.30,LE,0.32,3.1,1.0,1,0.5697613312896869,0.5956154671553018,0.5796728150287815,0.00418281778767691,-0.653452386485524,-5.972425177024522
LFR,10000,0.30,LE,0.37,3.1,1.0,1,0.5798720682302771,0.6083268356358251,0.5906816911277789,0.0007935526946897404,-0.5610174046789176,-6.3051197929002285
LFR,10000,0.30,LE,0.41,3.1,1.0,1,0.5808534291089448,0.6083403783402199,0.5902331296497833,0.0061587382288229115,-0.565263756382977,-6.318010909458916
LFR,10000,0.30,LE,0.46,3.1,1.0,1,0.5656186144618022,0.5873316048913089,0.5700713318979587,-0.002354628606946855,-0.4835186980018067,-5.981809436101374
LFR,10000,0.30,LE,0.50,3.1,1.0,1,0.5648006970159006,0.5888003003590458,0.5731649875864333,0.007459308697122927,-0.4595982728721294,-6.055944729741349
LFR,10000,0.30,LE,0.10,3.3,1.0,1,0.5671866447728516,0.5941828550492674,0.578635236178525,0.009121793503890944,-0.7902396810390511,-5.948069910009175
LFR,10000,0.30,LE,0.14,3.3,1.0,1,0.5611389511119322,0.5842909986970939,0.5711586677518687,0.007276812706802591,-0.8685673784965178,-5.78578533602993
LFR,10000,0.30,LE,0.19,3.3,1.0,1,0.5631945882515359,0.5850458036442371,0.5689877952731747,-0.011419030081514066,-0.7764078517802208,-5.770027731637157
LFR,10000,0.30,LE,0.23,3.3,1.0,1,0.5472346751527258,0.566852772054639,0.5558835790842925,-0.016009405224757703,-0.6850691677075499,-5.4879373496367
LFR,10000,0.30,LE,0.28,3.3,1.0,1,0.5563617099686752,0.572669207613151,0.5581980444088308,0.0011082951160200543,-0.6802131534362289,-5.8346337104393635
LFR,10000,0.30,LE,0.32,3.3,1.0,1,0.5482772992497916,0.5645562734059201,0.552721602615523,0.013307589611480646,-0.6053574244799353,-5.491786179302698
LFR,10000,0.30,LE,0.37,3.3,1.0,1,0.5436574446102629,0.5591485020331696,0.5471017497307723,0.014445023459683709,-0.6009140943932451,-5.519176258043401
LFR,10000,0.30,LE,0.41,3.3,1.0,1,0.5469346222335284,0.5620017047615539,0.5457507516107905,0.006920902530256061,-0.5495050399652626,-5.499943015952027
