system,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.8102694104781788,0.8952668667329207,0.8948744651768002,-0.037777070693905374,-8.082335376210569,-6.566837995003039
LFR,0.30,HOPE,0.2,2.1,1.0,1,0.7952095808383234,0.8789150939637691,0.8798116020628786,-0.03803214621830376,-8.211916403643164,-7.111642806043872
LFR,0.30,HOPE,0.3,2.1,1.0,1,0.7917483339866719,0.8747380539118794,0.8744727808724329,-0.03431062920238805,-10.068410526292789,-7.155928680553202
LFR,0.30,HOPE,0.4,2.1,1.0,1,0.7740205571279607,0.8545088988893494,0.8502007219637182,-0.022931075860414984,-10.371668684427272,-7.525047355957301
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.7509771626637823,0.8245941919885387,0.8168006336348208,0.04245226955730302,-11.433698259621485,-7.296111792313173
LFR,0.30,HOPE,0.3,2.7,1.0,1,0.6919214516529952,0.7721354189547315,0.774225907862879,-0.00675974287635811,-10.422060670363669,-4.365590090381538
LFR,0.30,HOPE,0.1,4.0,1.0,1,0.7651776405485604,0.8482872193088744,0.8535915030224873,0.027999222062319463,-12.50728369163788,0.3114872812268939
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.8099463167312854,0.8949827269729926,0.8942113420793011,-0.02826328575476559,-7.99480385851148,-6.3833074182812135
LFR,0.30,HOPE,0.2,2.1,1.0,1,0.7927644710578843,0.877372286365393,0.8772980656284144,-0.04004861457907278,-7.982007599382771,-7.041887215366513
LFR,0.30,HOPE,0.3,2.1,1.0,1,0.7926058408467268,0.8761762231004944,0.8768452778700162,-0.04876029977430756,-10.484608355786426,-7.212620830648127
LFR,0.30,HOPE,0.4,2.1,1.0,1,0.7726798748696558,0.8507942642371551,0.8467187050808653,0.009713669746707147,-9.891195397526399,-7.422378039553914
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.7556478772831191,0.8294048715386036,0.8208743962282905,0.011192361394940509,-11.459703002513647,-7.536034795302411
LFR,0.30,HOPE,0.3,2.7,1.0,1,0.6930897340293314,0.7759993015552075,0.7786847140723776,0.006797404371129622,-10.688417490574695,-4.163664353869409
LFR,0.30,HOPE,0.1,4.0,1.0,1,0.7651980965620488,0.8496308409533229,0.8520220403992916,-0.019744643196873597,-12.539747953541264,0.46763928729672166
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.8094492494283726,0.8950749455832618,0.8932073950366222,-0.035961710213647795,-8.215666832403139,-6.609106398020432
LFR,0.30,HOPE,0.2,2.1,1.0,1,0.7862774451097805,0.871875156871885,0.8721979739642396,-0.025130535256003526,-7.923307523358805,-6.949714143336714
LFR,0.30,HOPE,0.3,2.1,1.0,1,0.7957173657389259,0.875950743983843,0.8748231616028144,-0.026616195288348098,-10.20166948865747,-7.280746479678936
LFR,0.30,HOPE,0.4,2.1,1.0,1,0.7712647102636675,0.8504270413727528,0.8475523382120287,-0.011109076729678861,-10.302356845984564,-7.3245380949477905
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.7533677482792527,0.8262618233395116,0.8177906015919955,0.021453890124915154,-11.368689955545921,-7.236878508043333
LFR,0.30,HOPE,0.3,2.7,1.0,1,0.695227442207308,0.776456607418109,0.7794531669800095,0.0036770850916972445,-10.71356919265368,-4.069659833054334
LFR,0.30,HOPE,0.1,4.0,1.0,1,0.7654324288196765,0.8491283196705584,0.8503656940768081,-0.006339285746693078,-12.652761934367957,0.3842186277068912
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.811015011432548,0.8958473938053189,0.896534532205117,0.003794192497327422,-8.183847959368597,-6.373592186101917
LFR,0.30,HOPE,0.2,2.1,1.0,1,0.7932634730538922,0.8776668867853116,0.8790848237513779,-0.031879511711074886,-8.171479170036141,-7.0208756679763935
LFR,0.30,HOPE,0.3,2.1,1.0,1,0.793046844374755,0.8768098763469057,0.8764380240163459,-0.03884013980473583,-10.634234727828568,-7.351191322010645
LFR,0.30,HOPE,0.4,2.1,1.0,1,0.7736233179403148,0.8528142143617821,0.8502835173178387,-0.020489903359083458,-10.144400150509421,-7.556771100927995
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.755039331366765,0.8291776725767911,0.8217476110060626,0.05942910768652564,-11.0795156494126,-7.458746167881655
LFR,0.30,HOPE,0.3,2.7,1.0,1,0.698434004474273,0.7805010921232246,0.78159646271545,-0.008816299524758344,-11.063461114697091,-4.140802449359352
LFR,0.30,HOPE,0.1,4.0,1.0,1,0.7664545794792279,0.8495139544688065,0.8522000834732838,0.04626213394334405,-11.948629225883613,0.23782066499406773
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.8072372999304106,0.89225434930431,0.890115020825559,0.0008578949298004537,-8.318094979155719,-6.364011021370991
LFR,0.30,HOPE,0.2,2.1,1.0,1,0.7939870259481038,0.8780095522527799,0.87855789559931,-0.029569690115393378,-8.298282698091029,-7.01559815602895
LFR,0.30,HOPE,0.3,2.1,1.0,1,0.794467855742846,0.8755584551242462,0.8754828255549818,-0.03182754453500511,-10.080271927241188,-7.306553851143196
LFR,0.30,HOPE,0.4,2.1,1.0,1,0.7740453845771885,0.8533481962212762,0.8471701817897328,-0.009269041237429963,-10.260327718973583,-7.6112358790248225
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.7672380210362291,0.8429244262149918,0.834563481785732,-0.0008866770757626799,-11.491032713819925,-7.410541464068059
