system,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.7289491997216423,0.7923357864283178,0.7806589285916441,-0.0424536605340051,-17.6924621911901,-12.45730415689076
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.73061568325825,0.7943952929751548,0.7828298871145076,-0.041302446822715624,-18.99841400513699,-11.89922776724435
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.7219353184631725,0.7827495345187779,0.7680578873426879,-0.05351800082916142,-16.33510446447017,-12.134487611066692
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.7353221257737245,0.7941333518627175,0.7798575881044032,-0.028794223796390378,-16.78713304709662,-11.654519345322672
LFR,0.05,HOPE,0.1,2.1,1.0,1,0.7289308867157456,0.7950123037066673,0.7863926248111747,-0.04095041355902237,-18.736977619756647,-11.427269906903012
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7667787829583237,0.842269878274979,0.8347893563084965,-0.05262172103616559,-14.500988710805332,-10.475972906533272
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7692337431377098,0.8430857186993075,0.8361775306226048,-0.044275098913922534,-15.474920148192696,-10.143364638109617
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7538660790226552,0.8214792319633603,0.8100717258815384,-0.040662516593395474,-11.313240208934623,-10.727161608818752
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7627967215649888,0.83427715373768,0.8315950232752427,-0.023439867941231783,-12.731975185918422,-10.433228970020405
LFR,0.10,HOPE,0.1,2.1,1.0,1,0.7671847212557025,0.8401596621583217,0.8349286638286821,-0.02748832077934208,-13.97245144668525,-10.857564168029068
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.7797904130336895,0.8590865630947808,0.8558019157190278,-0.02709711415559289,-11.077479045894844,-9.210565281867412
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.7829424045192189,0.8620538504494015,0.8562082000519372,-0.03353784695496473,-11.70191620684,-8.970699906497765
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.7779278726104221,0.855703376000646,0.8498640595704239,-0.04217180510514177,-10.643337478702081,-9.437606451822344
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.7748168160792501,0.8534603084040366,0.8520126593543005,-0.04277276673428202,-10.153336968659032,-9.145722301916724
LFR,0.15,HOPE,0.1,2.1,1.0,1,0.780179295100086,0.8591522342968859,0.8541245174468258,-0.011624371486139068,-11.372722878427943,-9.336227374352697
LFR,0.20,HOPE,0.1,2.1,1.0,1,0.7895572372999304,0.8713864583136599,0.8700878535180134,-0.037953044287497434,-9.49937050607448,-8.286028226558873
LFR,0.20,HOPE,0.1,2.1,1.0,1,0.7947329505915101,0.8761768866142784,0.8733635697500857,-0.026736332386998195,-9.762445952945003,-8.10276696973352
LFR,0.20,HOPE,0.1,2.1,1.0,1,0.792580027835769,0.8737358655565775,0.8699869305152087,-0.04381752319319655,-9.461897072022767,-8.315459416919289
LFR,0.20,HOPE,0.1,2.1,1.0,1,0.7912534794711203,0.8729847911760419,0.8731744646999866,-0.02344689984227253,-9.364298980369112,-8.179691847618063
LFR,0.20,HOPE,0.1,2.1,1.0,1,0.7927757480862909,0.8753249575871357,0.8732106118321975,-0.010271571513857002,-9.96792094544752,-8.288552025094921
LFR,0.25,HOPE,0.1,2.1,1.0,1,0.8056831361633032,0.888446389913521,0.8872204338296538,-0.03227208298211703,-9.04351654603325,-7.327078417778242
LFR,0.25,HOPE,0.1,2.1,1.0,1,0.8034794711203898,0.8869661051139804,0.8850286931783876,-0.028577910727917738,-8.816454662784379,-7.2528521915887545
LFR,0.25,HOPE,0.1,2.1,1.0,1,0.8042681512410114,0.886804268947594,0.8843873445949935,-0.028828967403912227,-8.841966206355194,-7.458462308730782
LFR,0.25,HOPE,0.1,2.1,1.0,1,0.8028531663187195,0.8874134489293651,0.8874921528201789,0.008098249970451556,-8.742893117247041,-7.220218698760064
LFR,0.25,HOPE,0.1,2.1,1.0,1,0.8004639294827186,0.8846555167548654,0.8826056519045269,0.0024757890502429773,-8.954067093303957,-7.357026133347325
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.8102694104781788,0.8952668667329207,0.8948744651768002,-0.037777070693905374,-8.082335376210569,-6.566837995003039
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.8099463167312854,0.8949827269729926,0.8942113420793011,-0.02826328575476559,-7.99480385851148,-6.3833074182812135
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.8094492494283726,0.8950749455832618,0.8932073950366222,-0.035961710213647795,-8.215666832403139,-6.609106398020432
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.811015011432548,0.8958473938053189,0.896534532205117,0.003794192497327422,-8.183847959368597,-6.373592186101917
LFR,0.30,HOPE,0.1,2.1,1.0,1,0.8072372999304106,0.89225434930431,0.890115020825559,0.0008578949298004537,-8.318094979155719,-6.364011021370991
LFR,0.35,HOPE,0.1,2.1,1.0,1,0.8151330228574487,0.9017346739486134,0.9018725979582485,-0.03280107531198612,-7.803205228735787,-5.943146794386673
LFR,0.35,HOPE,0.1,2.1,1.0,1,0.8132594614849312,0.9007804724813253,0.9007294380056038,-0.028295550095315675,-7.5802235355758185,-5.660893950072211
LFR,0.35,HOPE,0.1,2.1,1.0,1,0.8175686526417215,0.9029123153075918,0.9019328321689724,-0.032559649198298256,-7.790106484395183,-5.867521129667912
LFR,0.35,HOPE,0.1,2.1,1.0,1,0.8167389326053209,0.9019652747140257,0.9031158173372321,-0.0005819914190967511,-7.780925454962261,-5.6691208616672855
LFR,0.35,HOPE,0.1,2.1,1.0,1,0.8139821208714737,0.8986317461544711,0.8978833254846059,0.0063440444827348695,-7.994337166525222,-5.7255856976985475
LFR,0.40,HOPE,0.1,2.1,1.0,1,0.8209812108559499,0.9069019989592526,0.9074365584235193,-0.0338411384699015,-7.540557412341908,-5.31649528889373
LFR,0.40,HOPE,0.1,2.1,1.0,1,0.817936673625609,0.9057769349886932,0.9060015929281064,-0.02231526654675451,-7.318997785696927,-5.086973032497181
LFR,0.40,HOPE,0.1,2.1,1.0,1,0.8200243562978428,0.9063637106793263,0.9058905771509416,-0.028972777078403622,-7.453683140103091,-5.206532342244461
LFR,0.40,HOPE,0.1,2.1,1.0,1,0.8217930874507074,0.9073626327239457,0.9086354710046156,-0.013086893404435702,-7.547387098545536,-5.074396412244204
LFR,0.40,HOPE,0.1,2.1,1.0,1,0.8170958014381814,0.9039349783620642,0.9038842230273595,0.00477894613640038,-7.395408472838792,-5.179992960099425
LFR,0.45,HOPE,0.1,2.1,1.0,1,0.8232744986398431,0.9108843564613736,0.9123782560384539,-0.037138384499331156,-7.394156480109764,-4.709330379598841
LFR,0.45,HOPE,0.1,2.1,1.0,1,0.8185930284051369,0.9068991606617638,0.907597222556266,-0.024665118134467614,-7.083879437287588,-4.542408540113051
LFR,0.45,HOPE,0.1,2.1,1.0,1,0.8214082368570886,0.9089156998490789,0.9090965906668458,-0.0350103999290503,-7.217240494540968,-4.655642650637555
LFR,0.45,HOPE,0.1,2.1,1.0,1,0.8221357626368064,0.9097773140484061,0.9105094297315799,0.00035236810051091197,-7.207033355091438,-4.5381967891479125
LFR,0.45,HOPE,0.1,2.1,1.0,1,0.8203960270766116,0.9072713392223538,0.9075755985098193,0.00741195061556207,-7.27837125662587,-4.654119178374842
LFR,0.50,HOPE,0.1,2.1,1.0,1,0.8245302713987473,0.9122313942727469,0.9133613342481331,-0.028534629392985487,-7.223661882382895,-4.24392886861487
LFR,0.50,HOPE,0.1,2.1,1.0,1,0.822303409881698,0.9091902299743967,0.9097942751446535,-0.0405769727908234,-7.026011876779572,-4.065999869118676
LFR,0.50,HOPE,0.1,2.1,1.0,1,0.8219206680584551,0.9102641637719502,0.9104569452709559,-0.02970666663853496,-7.12613236445979,-4.152862201490358
LFR,0.50,HOPE,0.1,2.1,1.0,1,0.8245998608211552,0.9112418249378077,0.9118820318217822,-0.004066003312567419,-6.987033046383296,-4.14880807044053
LFR,0.50,HOPE,0.1,2.1,1.0,1,0.825330549756437,0.9112620576870646,0.9116802761487656,-0.005690596710234431,-7.232385594379587,-4.18210750170587
LFR,0.55,HOPE,0.1,2.1,1.0,1,0.824209386839867,0.9119814006833294,0.9137929161987426,-0.03430563245657363,-7.167541158597448,-3.807424343997577
LFR,0.55,HOPE,0.1,2.1,1.0,1,0.8203433078172118,0.9085808593940032,0.9100804518364627,-0.03834580154470422,-6.8844405790764265,-3.738895779479653
LFR,0.55,HOPE,0.1,2.1,1.0,1,0.8202659862367587,0.9094070278961353,0.9105989079403339,-0.04290567132635987,-6.9371616250596695,-3.8273423276610434
LFR,0.55,HOPE,0.1,2.1,1.0,1,0.8232428670842032,0.9105294134418865,0.9118726021197613,-0.004474197478337252,-6.7978262756491326,-3.810394554241599
LFR,0.55,HOPE,0.1,2.1,1.0,1,0.8229722415526174,0.9105595935499919,0.9119863632813392,-0.02288117465012483,-7.104507834121547,-3.8061932236412397
LFR,0.60,HOPE,0.1,2.1,1.0,1,0.8221990257480863,0.9097102441368369,0.9114962185315888,-0.03697128249504384,-7.062305274116945,-3.531326576190209
LFR,0.60,HOPE,0.1,2.1,1.0,1,0.8201983298538622,0.9077850563374075,0.9093546292865493,-0.03765791516940359,-6.767330269188997,-3.477039226715265
LFR,0.60,HOPE,0.1,2.1,1.0,1,0.8194589422407794,0.9082395047455919,0.9097236100538721,-0.054443279759144834,-6.8472124091762065,-3.478466356780272
LFR,0.60,HOPE,0.1,2.1,1.0,1,0.8215031315240083,0.90918544812295,0.9104334398098026,0.0013329593789634206,-6.818021843962652,-3.4616751934310535
LFR,0.60,HOPE,0.1,2.1,1.0,1,0.8222425191370911,0.9100444879559936,0.9115481238610621,-0.02347197593186671,-7.070090350759394,-3.465955998465788
LFR,0.65,HOPE,0.1,2.1,1.0,1,0.8226463863207079,0.9082114994640282,0.9097953224863853,-0.021464985657192737,-7.1474524710795295,-3.2472013106484057
LFR,0.65,HOPE,0.1,2.1,1.0,1,0.8192663286609007,0.9065300491094984,0.9086928259179786,-0.028463852063259215,-6.798662808405512,-3.192425823492085
LFR,0.65,HOPE,0.1,2.1,1.0,1,0.817029525797793,0.9070481771624362,0.9082501367303032,-0.04960829689314244,-6.775837739746581,-3.2193971180472936
LFR,0.65,HOPE,0.1,2.1,1.0,1,0.8252808430261458,0.9093652253375233,0.9100566484951224,-0.003999629296656739,-6.883221384221244,-3.2095683994327344
LFR,0.65,HOPE,0.1,2.1,1.0,1,0.8227457997812904,0.9093717777904874,0.9113710938696409,-0.024581945700228224,-7.141021390631678,-3.1768112595693023
LFR,0.70,HOPE,0.1,2.1,1.0,1,0.822952911157504,0.9078155652699873,0.9091991048420829,-0.024333748843749708,-7.215214519088608,-2.9911003641349514
LFR,0.70,HOPE,0.1,2.1,1.0,1,0.8200533518905126,0.9056744247061874,0.9077602836752667,-0.028697295051192957,-7.032816077966098,-2.974073625373817
LFR,0.70,HOPE,0.1,2.1,1.0,1,0.8203433078172118,0.9080261280220456,0.9095918173493251,-0.04745639021879379,-7.029486369831255,-2.9541144007408078
LFR,0.70,HOPE,0.1,2.1,1.0,1,0.8207492461145905,0.9065820385466105,0.9061678571701086,0.006810073920198753,-7.104467792220173,-2.952147849747528
LFR,0.70,HOPE,0.1,2.1,1.0,1,0.8232428670842032,0.9083265629868751,0.9101232770741773,-0.030121063201887822,-7.368061253491945,-2.929613788273575
LFR,0.75,HOPE,0.1,2.1,1.0,1,0.8184411969380654,0.9041157906002463,0.9043376725741183,-0.02717214051175936,-7.12387837041532,-2.765129185694555
LFR,0.75,HOPE,0.1,2.1,1.0,1,0.816214335421016,0.9016141162409701,0.9022821683542707,-0.03303019770887227,-7.054543574146183,-2.714351177835893
LFR,0.75,HOPE,0.1,2.1,1.0,1,0.8224077940153097,0.9076154654137665,0.9088257144589867,-0.033444104915457656,-7.3369840786919385,-2.7102514357335936
LFR,0.75,HOPE,0.1,2.1,1.0,1,0.8203897007654837,0.9048360144873846,0.9047631536389997,0.014907657945325725,-7.087867391369753,-2.766231587959016
LFR,0.75,HOPE,0.1,2.1,1.0,1,0.8242867084203201,0.9079667733510768,0.9081373308905629,-0.04210955864517921,-7.663756512121486,-2.7153310473179912
LFR,0.80,HOPE,0.1,2.1,1.0,1,0.816544885177453,0.9008754792444825,0.9009630028504316,-0.021417728798643093,-7.449786652056056,-2.5832969104428587
LFR,0.80,HOPE,0.1,2.1,1.0,1,0.8159359777313848,0.898747117995476,0.8985609644549821,-0.025785254567558678,-7.276403406208774,-2.5612706070536135
LFR,0.80,HOPE,0.1,2.1,1.0,1,0.8216771050800278,0.90493319754437,0.905932138789161,-0.029265761802930487,-7.714372858253546,-2.4927278111678888
LFR,0.80,HOPE,0.1,2.1,1.0,1,0.8201983298538622,0.9039001917220064,0.9035885665268726,0.010811356644957526,-7.3600385342676,-2.592472595199548
LFR,0.80,HOPE,0.1,2.1,1.0,1,0.822633959638135,0.904524898436732,0.904224137713798,-0.02743670536750088,-7.830482030827135,-2.5374814685582856
LFR,0.85,HOPE,0.1,2.1,1.0,1,0.8116446300162375,0.8942396821561109,0.8930497373638653,-0.030076858777680304,-7.721512916418755,-2.4186952636623484
LFR,0.85,HOPE,0.1,2.1,1.0,1,0.8160519601020645,0.897484820998927,0.8972511792548913,-0.0011882000716236809,-7.505818183034387,-2.3846917956128966
LFR,0.85,HOPE,0.1,2.1,1.0,1,0.8163999072141035,0.9009572433183151,0.9008385696301631,-0.03583014314443692,-7.658544459732334,-2.3408821346353808
LFR,0.85,HOPE,0.1,2.1,1.0,1,0.8170958014381814,0.9018836494774392,0.901598219550301,0.0019068561008799602,-7.5258137391441196,-2.4352238392247085
LFR,0.85,HOPE,0.1,2.1,1.0,1,0.8227789376014846,0.9009199008152987,0.8985993036573184,-0.025960943027314377,-7.813603866498993,-2.4128754918040514
LFR,0.90,HOPE,0.1,2.1,1.0,1,0.8096729297146834,0.8880495300413711,0.8852814237967103,-0.018360104101538367,-7.809591403578564,-2.2896744782158995
LFR,0.90,HOPE,0.1,2.1,1.0,1,0.8122825330549757,0.8959575180063235,0.8943199768465885,0.011863331594731599,-7.640243805524306,-2.260197040337268
LFR,0.90,HOPE,0.1,2.1,1.0,1,0.8166318719554627,0.9000411144186669,0.9017808588936609,-0.027092075604047042,-7.796189221750027,-2.230067675294955
LFR,0.90,HOPE,0.1,2.1,1.0,1,0.8197633959638135,0.9006666686037417,0.8976980587727569,0.003722640139621935,-7.7132118482970915,-2.2863797956795993
LFR,0.90,HOPE,0.1,2.1,1.0,1,0.8178496868475992,0.8980840632474386,0.8990687720878646,-0.029278154185186197,-7.910030386734754,-2.265112965823901
LFR,0.95,HOPE,0.1,2.1,1.0,1,0.8044537230340988,0.8830452176279644,0.8762364131309889,-0.04661986336855532,-7.62152060486828,-2.18446798665269
LFR,0.95,HOPE,0.1,2.1,1.0,1,0.8051496172581768,0.8891857456455763,0.881266275615869,-0.0001930782813673828,-7.206572200461009,-2.1612501099920767
LFR,0.95,HOPE,0.1,2.1,1.0,1,0.8037578288100209,0.8911455813622383,0.8917232768835723,-0.0358119207663499,-7.738462797549589,-2.1760756760773723
LFR,0.95,HOPE,0.1,2.1,1.0,1,0.8201113430758524,0.898203314432323,0.8994358205733851,0.009530112361029477,-7.438558302838976,-2.2401127630217106
LFR,0.95,HOPE,0.1,2.1,1.0,1,0.8013221990257481,0.8894501563945996,0.8894485450123246,-0.035994734964745256,-7.624046141603695,-2.161637261091575
LFR,0.05,Isomap,0.1,2.1,1.0,1,0.6739003039958978,0.7036519079614764,0.6538197277216053,-0.0647576128303291,0.0,-15.883385304953737
