system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
arxiv,6-7,0.05,HOPE,0.7985221674876847,0.6237136584521041,0.32963723199307315,-0.786592925872062,-0.30522009599300576,-9.992960833363053
arxiv,6-7,0.05,HOPE,0.7985221674876847,0.6260882296089416,0.32922992997849293,-0.7866452322259896,-0.4060098742136654,-9.932666555828726
arxiv,6-7,0.05,HOPE,0.7929802955665025,0.5923190962812406,0.2896836142968222,-0.7549067006774959,-0.40159477066463184,-11.360976621309765
arxiv,6-7,0.05,HOPE,0.7937192118226601,0.5946971450617284,0.28792620263736185,-0.753153347231414,-0.6463898440394236,-11.143868055410103
arxiv,6-7,0.05,HOPE,0.7944328119226506,0.6054718717035753,0.288419238587553,-0.6782603073187278,-0.6542433302147401,-10.31353436107451
arxiv,6-7,0.05,HOPE,0.7943096440448331,0.6064943879931226,0.29190716010299267,-0.681842487969288,-0.5384912403058322,-10.373266265764151
arxiv,6-7,0.05,HOPE,0.7897783251231527,0.5967494370193172,0.2817725965955685,-0.7132313288552081,-0.08000968471763661,-10.79267803111374
arxiv,6-7,0.05,HOPE,0.7900246305418719,0.5952463954907246,0.28055190782397876,-0.7137181528912212,-0.18265860283081511,-10.690244633936473
arxiv,6-7,0.05,HOPE,0.7966247844296624,0.6013510880125393,0.304821298745943,-0.8182686382787457,-0.6754241552473567,-10.518414787963355
arxiv,6-7,0.10,HOPE,0.8067500651550691,0.6417043838680309,0.3513324364720068,-0.6850747491247987,-0.7310866195625743,-8.762599849091307
arxiv,6-7,0.10,HOPE,0.8075319259838415,0.6401994231727723,0.3519735714467773,-0.6871036754536683,-0.630851446429291,-8.809070050473624
arxiv,6-7,0.10,HOPE,0.7941674261163911,0.6451361961970276,0.34344646326629874,-0.5700846524993237,-0.8594300238392997,-9.336861314269376
arxiv,6-7,0.10,HOPE,0.7946881916417133,0.6464185677543148,0.34484760350174326,-0.5691658639468188,-0.8842667919455491,-9.346382483590611
