system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
arxiv,2-6,0.05,HOPE,0.7493836209768775,0.6022289958495595,0.3276604543432401,-0.7465395654492447,-0.6189417147766222,-8.890672471168807
arxiv,2-7,0.05,HOPE,0.9270886818748625,0.609270772819958,0.13844555816961726,-1.9494724299459691,-0.40608959965436514,-13.75460913211468
arxiv,6-7,0.05,HOPE,0.7985221674876847,0.6237136584521041,0.32963723199307315,-0.786592925872062,-0.30522009599300576,-9.992960833363053
arxiv,2-6,0.05,HOPE,0.7493836209768775,0.6046286233027012,0.3241306844486751,-0.7446491653160414,-0.8732328331984942,-8.655168841976495
arxiv,2-7,0.05,HOPE,0.9273087361549183,0.6140454327836784,0.1368346578366243,-1.9465563253854614,-0.6002966819881597,-13.569844737700889
arxiv,6-7,0.05,HOPE,0.7985221674876847,0.6260882296089416,0.32922992997849293,-0.7866452322259896,-0.4060098742136654,-9.932666555828726
arxiv,2-6,0.05,HOPE,0.7489339019189766,0.6038148546033093,0.3283444847571697,-0.7629234356491927,-0.7020653761369445,-9.629299568632895
arxiv,2-7,0.05,HOPE,0.9274554390082888,0.5903661654364033,0.12364263312803046,-1.9675584344568988,-0.5551920775391361,-9.725716999923552
arxiv,6-7,0.05,HOPE,0.7929802955665025,0.5923190962812406,0.2896836142968222,-0.7549067006774959,-0.40159477066463184,-11.360976621309765
arxiv,2-6,0.05,HOPE,0.7494669509594882,0.601664799674525,0.3303679543281698,-0.7670304453706788,-0.5451213359481194,-9.773615855243097
arxiv,2-7,0.05,HOPE,0.9275287904349739,0.584472067338709,0.12619143428865948,-1.970620591812544,-0.34071669597008286,-9.8923935272696
arxiv,6-7,0.05,HOPE,0.7937192118226601,0.5946971450617284,0.28792620263736185,-0.753153347231414,-0.6463898440394236,-11.143868055410103
arxiv,2-6,0.05,HOPE,0.7467848337442526,0.590916665415622,0.3137602576561621,-0.7477931299491593,-0.8168438783475229,-9.263892559373954
arxiv,2-7,0.05,HOPE,0.9273874138183952,0.570476187049238,0.12722592663932908,-1.8919262573216504,-0.8105751732650142,-13.285359132524826
arxiv,6-7,0.05,HOPE,0.7944328119226506,0.6054718717035753,0.288419238587553,-0.6782603073187278,-0.6542433302147401,-10.31353436107451
arxiv,2-6,0.05,HOPE,0.7435196908109549,0.5949071284045988,0.3116837293817485,-0.7440538410338193,-1.0505863899863273,-9.083082449326216
arxiv,2-7,0.05,HOPE,0.9274607598650433,0.5730596866040483,0.1286298644225922,-1.8910383924455214,-0.8267106181123959,-13.260552599712046
arxiv,6-7,0.05,HOPE,0.7943096440448331,0.6064943879931226,0.29190716010299267,-0.681842487969288,-0.5384912403058322,-10.373266265764151
arxiv,2-6,0.05,HOPE,0.7421526157947351,0.6001143506981239,0.3129362750874405,-0.7608701103318427,-1.370012177928185,-9.197422741482523
