system,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,0.05,HOPE,0.1,4.0,1.0,1,0.6567781586100934,0.7180513874446783,0.7138939083611928,-0.009051522559629396,-16.751938790681056,0.884216056054455
LFR,0.05,HOPE,0.1,4.0,1.0,1,0.6618142420959322,0.7245614355318947,0.7225596598237672,-0.005234723057702888,-17.52060937752055,1.187711870370397
LFR,0.05,HOPE,0.1,4.0,1.0,1,0.6567713976164681,0.7182113684095505,0.7165456820577252,-0.0086327448220029,-17.416517324593574,0.9542042940338255
LFR,0.05,HOPE,0.1,4.0,1.0,1,0.6528316753668867,0.7103595131429881,0.708638842102171,-0.015818606120067604,-15.892508856239624,0.5013038912668171
LFR,0.10,HOPE,0.1,4.0,1.0,1,0.6938143258134941,0.7679598465974011,0.7673846395608184,-0.015685293739413336,-14.633792773973841,0.6320908372599606
LFR,0.10,HOPE,0.1,4.0,1.0,1,0.7019316740481982,0.7776870897955048,0.7788901433812181,-0.015451478616220397,-15.651508917144655,1.0471824890336627
LFR,0.10,HOPE,0.1,4.0,1.0,1,0.6993949223379702,0.7711426666397064,0.7704342586794973,-0.013830366285671957,-15.296550553614908,0.6063774384318181
LFR,0.10,HOPE,0.1,4.0,1.0,1,0.703158463809702,0.7748561380383071,0.7751384758059618,-0.015479514704750036,-15.00204336957432,0.7074374028889693
LFR,0.15,HOPE,0.1,4.0,1.0,1,0.7229157034982278,0.80310761381604,0.8045326342605872,-0.014164252718752709,-14.0796163379222,0.46689846771778837
LFR,0.15,HOPE,0.1,4.0,1.0,1,0.7266682811915194,0.807143759100867,0.8081726006899552,-0.03146071310343931,-14.152458914372811,0.7170172199080643
LFR,0.15,HOPE,0.1,4.0,1.0,1,0.7304330595979833,0.809117575546797,0.8088983665407812,-0.016363094148851974,-14.942297832198355,0.6138268308312284
LFR,0.15,HOPE,0.1,4.0,1.0,1,0.7324805706611479,0.8112896230522041,0.8131879077426538,-0.007704755584827034,-14.794712224316003,0.6002853974624129
LFR,0.20,HOPE,0.1,4.0,1.0,1,0.740824776028631,0.8222904102622441,0.8256982301069763,-0.022857172206260594,-13.358346999548026,0.4685799036859018
LFR,0.20,HOPE,0.1,4.0,1.0,1,0.7439706191957707,0.8241520580522854,0.8258827826045652,-0.03375720639855209,-13.206530222199673,0.6271636051495716
LFR,0.20,HOPE,0.1,4.0,1.0,1,0.7456782614798007,0.8287523749355297,0.8305854830562444,-0.008826633414344484,-14.048998004192098,0.5755935008431823
LFR,0.20,HOPE,0.1,4.0,1.0,1,0.7475496502842172,0.8304034753540994,0.8325194221985367,-0.007320096006652278,-13.493290673454085,0.41490988530690487
LFR,0.25,HOPE,0.1,4.0,1.0,1,0.7586516629656429,0.8415057729469316,0.8447530389784735,-0.018847765074461294,-13.315799170072225,0.45968909720117784
LFR,0.25,HOPE,0.1,4.0,1.0,1,0.7555267228903638,0.8383250715855444,0.8402634774069071,-0.03097678796909023,-12.744884489001054,0.5369794816381074
LFR,0.25,HOPE,0.1,4.0,1.0,1,0.7527759063802181,0.8379654658638551,0.840822647956962,-0.0105644328621514,-13.076831864887879,0.44725013324582574
LFR,0.25,HOPE,0.1,4.0,1.0,1,0.7625071736906455,0.8468019029745261,0.8487786604129041,-0.017830719975510098,-12.911388696613978,0.5431656900834209
LFR,0.30,HOPE,0.1,4.0,1.0,1,0.7651776405485604,0.8482872193088744,0.8535915030224873,0.027999222062319463,-12.50728369163788,0.3114872812268939
LFR,0.30,HOPE,0.1,4.0,1.0,1,0.7651980965620488,0.8496308409533229,0.8520220403992916,-0.019744643196873597,-12.539747953541264,0.46763928729672166
LFR,0.30,HOPE,0.1,4.0,1.0,1,0.7654324288196765,0.8491283196705584,0.8503656940768081,-0.006339285746693078,-12.652761934367957,0.3842186277068912
LFR,0.30,HOPE,0.1,4.0,1.0,1,0.7664545794792279,0.8495139544688065,0.8522000834732838,0.04626213394334405,-11.948629225883613,0.23782066499406773
LFR,0.35,HOPE,0.1,4.0,1.0,1,0.7700944265315522,0.8547498282456734,0.8601666294192792,0.017894994236706024,-12.213117251260684,0.29309148772768556
LFR,0.35,HOPE,0.1,4.0,1.0,1,0.7692462716646513,0.8526184586352068,0.8565938773477281,0.023252663295591426,-11.899511727892202,0.3731474275125691
LFR,0.35,HOPE,0.1,4.0,1.0,1,0.7650361327843838,0.8470559390643064,0.8452494540661607,0.0020145469977112173,-11.708315985517252,0.015811972754778806
LFR,0.35,HOPE,0.1,4.0,1.0,1,0.7688432083837162,0.8519944923537169,0.8501842253709174,-0.004130381866231039,-11.501195429731775,0.09266004491096146
LFR,0.40,HOPE,0.1,4.0,1.0,1,0.7730164670658682,0.8549438550191278,0.8557683707574708,-0.03723522252857285,-11.801983623918415,0.07990134079094068
LFR,0.40,HOPE,0.1,4.0,1.0,1,0.7684486307778678,0.8504640321664843,0.8504304436306933,-0.0297504064039704,-11.360275985290691,0.09489942940277982
LFR,0.40,HOPE,0.1,4.0,1.0,1,0.7709437963944857,0.8538628645702979,0.8530357457394765,0.010999266621908027,-11.658840492789542,0.09432563850263699
LFR,0.40,HOPE,0.1,4.0,1.0,1,0.7677385147989895,0.8517350591375419,0.8508105225972491,-0.006071462624115978,-11.250410277619114,0.18151361883990091
LFR,0.45,HOPE,0.1,4.0,1.0,1,0.7738500272182907,0.8566763676740847,0.8587980309927428,-0.032261539294092915,-11.582537013010642,0.17836480884587505
LFR,0.45,HOPE,0.1,4.0,1.0,1,0.7731278282467422,0.8556265722348483,0.855737939883912,-0.02666882522238794,-11.261353053065342,0.17709408992717587
LFR,0.45,HOPE,0.1,4.0,1.0,1,0.7761143246002041,0.8585067102769354,0.8586520833466378,0.004898526617204914,-11.583381462349585,0.1324840549667873
LFR,0.45,HOPE,0.1,4.0,1.0,1,0.7705420026538736,0.8544347199072115,0.8544886809461036,-0.010265489676054007,-11.121843733843136,0.12832319713304804
