system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
arxiv,2-6,0.05,HOPE,0.7493836209768775,0.6046286233027012,0.3241306844486751,-0.7446491653160414,-0.8732328331984942,-8.655168841976495
arxiv,2-7,0.05,HOPE,0.9273087361549183,0.6140454327836784,0.1368346578366243,-1.9465563253854614,-0.6002966819881597,-13.569844737700889
arxiv,6-7,0.05,HOPE,0.7985221674876847,0.6260882296089416,0.32922992997849293,-0.7866452322259896,-0.4060098742136654,-9.932666555828726
arxiv,2-6,0.05,HOPE,0.7494669509594882,0.601664799674525,0.3303679543281698,-0.7670304453706788,-0.5451213359481194,-9.773615855243097
arxiv,2-7,0.05,HOPE,0.9275287904349739,0.584472067338709,0.12619143428865948,-1.970620591812544,-0.34071669597008286,-9.8923935272696
arxiv,6-7,0.05,HOPE,0.7937192118226601,0.5946971450617284,0.28792620263736185,-0.753153347231414,-0.6463898440394236,-11.143868055410103
arxiv,2-6,0.05,HOPE,0.7435196908109549,0.5949071284045988,0.3116837293817485,-0.7440538410338193,-1.0505863899863273,-9.083082449326216
arxiv,2-7,0.05,HOPE,0.9274607598650433,0.5730596866040483,0.1286298644225922,-1.8910383924455214,-0.8267106181123959,-13.260552599712046
arxiv,6-7,0.05,HOPE,0.7943096440448331,0.6064943879931226,0.29190716010299267,-0.681842487969288,-0.5384912403058322,-10.373266265764151
arxiv,2-6,0.05,HOPE,0.7408197267577474,0.6006992794400274,0.3112229402303589,-0.7554796535773491,-1.5685614895242692,-9.14034990665197
arxiv,2-7,0.05,HOPE,0.9256271086988411,0.601088507607453,0.12420853891576367,-1.9195704020601003,-1.0337175202290656,-15.286551551443582
arxiv,6-7,0.05,HOPE,0.7900246305418719,0.5952463954907246,0.28055190782397876,-0.7137181528912212,-0.18265860283081511,-10.690244633936473
arxiv,2-6,0.05,HOPE,0.7431369936034116,0.5981030810428614,0.3123696859596635,-0.7406544537895662,-1.178212718903442,-8.73442998562974
arxiv,2-7,0.05,HOPE,0.9274607598650433,0.6016979176708762,0.12182159604662379,-1.850718779204835,-1.0045719703073288,-11.946165126029697
arxiv,6-7,0.05,HOPE,0.7966247844296624,0.6013510880125393,0.304821298745943,-0.8182686382787457,-0.6754241552473567,-10.518414787963355
arxiv,2-6,0.10,HOPE,0.7428410213006066,0.652271814905626,0.36001431992230637,-0.6899900513175365,-1.7153114164219256,-7.516783174343507
arxiv,2-7,0.10,HOPE,0.9266496084360704,0.6363999707313243,0.1535316101408768,-1.5841132110286393,-0.9406095774388441,-11.380701529121943
arxiv,6-7,0.10,HOPE,0.8075319259838415,0.6401994231727723,0.3519735714467773,-0.6871036754536683,-0.630851446429291,-8.809070050473624
arxiv,2-6,0.10,HOPE,0.7359182234755023,0.6483635901433878,0.3555310569628328,-0.6287494683482279,-1.6402834354098499,-8.051891650166441
arxiv,2-7,0.10,HOPE,0.9264284053027366,0.6425810869960495,0.13155000592191168,-1.602034535444299,-1.387797927357611,-9.204488124348089
arxiv,6-7,0.10,HOPE,0.7946881916417133,0.6464185677543148,0.34484760350174326,-0.5691658639468188,-0.8842667919455491,-9.346382483590611
arxiv,2-6,0.10,HOPE,0.7336155202821869,0.6555383729363082,0.351916271312261,-0.6136186581671416,-1.8684361817819048,-7.583348986172938
arxiv,2-7,0.10,HOPE,0.9269993800371977,0.6221085397526498,0.13979284578157386,-1.52078192584425,-1.2503005309483992,-10.834280233730642
arxiv,6-7,0.10,HOPE,0.7861331943177375,0.6583338079417813,0.3385978814836799,-0.5745689922320555,-1.3243727617608712,-8.834404130749007
arxiv,2-6,0.10,HOPE,0.7363706890471825,0.6434471512726144,0.3539931478295283,-0.6233264719284278,-1.846529467594037,-8.753095834496932
arxiv,2-7,0.10,HOPE,0.9258139534883721,0.6401309370219626,0.12990312922831446,-1.587175651581017,-1.391628412750671,-10.397193789652507
arxiv,6-7,0.10,HOPE,0.7921824104234527,0.6359352454241318,0.3287140900283747,-0.582742731254391,-0.6400080529109128,-9.130699278613505
arxiv,2-6,0.10,HOPE,0.7389280677009873,0.657175643984115,0.35878977514560517,-0.6525568224743097,-1.5121903357249522,-8.97393183570523
arxiv,2-7,0.10,HOPE,0.9266119032858029,0.6340039527784935,0.1251798396218161,-1.5124686930614335,-1.4936026132009887,-10.860182508143867
arxiv,6-7,0.10,HOPE,0.7933281209278081,0.6550828202197478,0.33931499169077595,-0.6495361668568587,-0.9952050197023193,-9.813452715214593
arxiv,2-6,0.15,HOPE,0.7433363282419886,0.6896094138246623,0.3934496631439368,-0.5698995495549435,-2.3403809656454673,-7.3326363931627885
arxiv,2-7,0.15,HOPE,0.9250184987256433,0.6747420867338838,0.16563621217922986,-1.2766765684240355,-1.3755612989596782,-10.122400103027944
arxiv,6-7,0.15,HOPE,0.7963757089500623,0.6652266845269101,0.354490747012714,-0.515567724953456,-1.0418274170492205,-8.087171262550747
arxiv,2-6,0.15,HOPE,0.7406465130200539,0.6914446628150227,0.3958012647557466,-0.5541363586533774,-2.5559075732360683,-7.200766807427178
arxiv,2-7,0.15,HOPE,0.9257950530035336,0.6707494984864063,0.1536472262158416,-1.2602101709756364,-1.536333536548798,-9.142393307913578
arxiv,6-7,0.15,HOPE,0.7891391460549951,0.6744126178142198,0.3715333615409351,-0.4365590992442795,-1.0157257701644988,-8.374105623513277
arxiv,2-6,0.15,HOPE,0.7406214900786222,0.6895632722560875,0.39302067551305603,-0.5289699783008893,-2.3854457899922727,-6.77613163743808
arxiv,2-7,0.15,HOPE,0.9217055537298718,0.6529705794164147,0.14022295245911276,-1.2004537467457075,-1.7248529041780818,-9.574847763068556
arxiv,6-7,0.15,HOPE,0.7886583679114799,0.6900978305592474,0.3678036513623046,-0.4780105563242096,-1.5315657072537807,-8.146565915684192
arxiv,2-6,0.15,HOPE,0.7419113241461953,0.6814426767535544,0.3898758222739255,-0.5092241575029743,-2.0089058940523854,-8.448697196965554
arxiv,2-7,0.15,HOPE,0.9216798159105851,0.6786607584978597,0.1448664171181224,-1.2473434932077903,-1.8525182821873778,-10.512453420428312
arxiv,6-7,0.15,HOPE,0.7812197483059051,0.67916159101429,0.35623854619916373,-0.46264573601309067,-1.2579187860600398,-8.47122273215028
arxiv,2-6,0.15,HOPE,0.739612188365651,0.6895977535055645,0.3947791288701117,-0.507516061043607,-1.9144188447073907,-8.170411401294565
arxiv,2-7,0.15,HOPE,0.9253841728983483,0.6551465091986766,0.13601859632073077,-1.2773073062617453,-1.4073269912803557,-9.572164706264278
arxiv,6-7,0.15,HOPE,0.7899031811894882,0.6815141223898307,0.3589600096649989,-0.51410148749383,-1.0824210537530232,-8.601862908025794
arxiv,2-6,0.20,HOPE,0.7470100462446181,0.7122304193992023,0.423183384702551,-0.4236349565059307,-2.722801708470097,-6.887011564446546
arxiv,2-7,0.20,HOPE,0.9231846019247594,0.6900760973993594,0.1716199182782559,-1.0467611111933213,-1.484955758737767,-8.70272473070485
arxiv,6-7,0.20,HOPE,0.792225003681343,0.695875710913138,0.3838956666138832,-0.3906622680417049,-1.436550975407212,-7.639937615180977
arxiv,2-6,0.20,HOPE,0.7484045947670709,0.7133741007340988,0.4211968133242088,-0.4266572762749692,-2.4502520449953593,-6.558655385875704
arxiv,2-7,0.20,HOPE,0.9184369263047469,0.704194798790349,0.1687241431622707,-0.960546308079316,-1.9114580755275647,-9.051961273525597
arxiv,6-7,0.20,HOPE,0.7920529801324503,0.7049302795508986,0.40346796486204684,-0.30095893430832166,-1.6426005243168018,-7.8641153532339745
arxiv,2-6,0.20,HOPE,0.7502194557497407,0.7189584050493507,0.43322581002629545,-0.4437382395188367,-2.8259148576969415,-6.615417082149862
arxiv,2-7,0.20,HOPE,0.9214092140921409,0.6821265051940629,0.16195590718550226,-0.9575421778497327,-1.83318327568391,-9.074351338265537
arxiv,6-7,0.20,HOPE,0.7908997202179355,0.7118246937421925,0.4027391411639709,-0.31946350743554125,-1.7784703518055958,-7.684305494526524
arxiv,2-6,0.20,HOPE,0.7480051069262688,0.7068114639009587,0.4157509393285964,-0.3982701728550972,-2.353456536153336,-7.265796511879995
arxiv,2-7,0.20,HOPE,0.9163315264906452,0.7062030252484636,0.16277593979579133,-0.9058225471264921,-1.926058108268382,-9.919168942170888
arxiv,6-7,0.20,HOPE,0.795317331762627,0.6975872647842438,0.39281485129894256,-0.4165853615632212,-0.9810639355671225,-7.769014046840097
arxiv,2-6,0.20,HOPE,0.7489229296314026,0.7137680420731269,0.42382951802716007,-0.430956678799608,-2.4059565233413727,-7.109986126182273
arxiv,2-7,0.20,HOPE,0.923487233298356,0.6860537391399636,0.15972584515313712,-1.027876153139242,-1.5000372292388906,-8.773998401450752
arxiv,6-7,0.20,HOPE,0.782423082585014,0.711841679100915,0.3799533972184672,-0.40253071303081583,-1.6570116832179025,-7.730073596837206
arxiv,2-6,0.25,HOPE,0.7581704923628296,0.7346853319496247,0.4525779163744408,-0.36081394948557527,-2.8942355265603834,-6.412851204544386
arxiv,2-7,0.25,HOPE,0.921804932735426,0.7232103503178995,0.20424523882572035,-0.792359741700216,-1.6886280182673903,-8.214518798161643
arxiv,6-7,0.25,HOPE,0.7908476175499293,0.7194204630547087,0.4145673931185484,-0.2596114226527087,-1.4993490466644193,-7.125656241444525
arxiv,2-6,0.25,HOPE,0.7578525093888699,0.7349642226531803,0.45270063778360503,-0.3350235458101103,-2.5924276808809026,-6.256239518883806
arxiv,2-7,0.25,HOPE,0.9123658422771815,0.730239407096601,0.17655585201529822,-0.7296186410206628,-2.397781327974457,-8.552953025788984
arxiv,6-7,0.25,HOPE,0.793168581772391,0.7239560928110872,0.4209529566394034,-0.22345273165999022,-1.6607938313330326,-7.349767572621076
arxiv,2-6,0.25,HOPE,0.7585617900760099,0.7395715924292114,0.4634318230242659,-0.37879103490417376,-2.7771538773883044,-6.25193057187535
arxiv,2-7,0.25,HOPE,0.9110177404295051,0.7125907326633447,0.16459255023845681,-0.6874030390035075,-2.1926931067261273,-8.465956803463344
arxiv,6-7,0.25,HOPE,0.7925121912851975,0.731118695818212,0.42988266299563105,-0.17363032973075396,-1.9546606265229591,-7.52485445094054
arxiv,2-6,0.25,HOPE,0.7590742164147237,0.7301371059714481,0.4542468946820626,-0.2993077178568082,-2.753701548916395,-6.852676186220652
arxiv,2-7,0.25,HOPE,0.9081232492997199,0.7259054008169915,0.17026282392299838,-0.5095204141706101,-2.1921796490512504,-10.029502521093015
arxiv,6-7,0.25,HOPE,0.7943307086614173,0.7284763263666887,0.4177587182553182,-0.3323505769366757,-1.2281948769965207,-7.231298673364586
arxiv,2-6,0.25,HOPE,0.7568721188321667,0.7423913301372419,0.4579777718739749,-0.32444062994549566,-2.9789519067599928,-6.644639732856885
arxiv,2-7,0.25,HOPE,0.9177404295051353,0.706499406099104,0.16366429163208043,-0.8357594838508603,-2.0815812027835747,-7.804563376714409
arxiv,6-7,0.25,HOPE,0.7964741067212341,0.7351355244589882,0.4147616154635506,-0.24046433272935425,-1.9204177667502658,-7.447962174021208
arxiv,2-6,0.30,HOPE,0.7660276987984959,0.7525502483137105,0.4859184200067461,-0.2645206522042895,-2.9847495494051044,-6.074930107256098
arxiv,2-7,0.30,HOPE,0.9148381925658752,0.7390652039180724,0.20294609406512282,-0.5133108612012501,-2.0085561403807968,-7.744018402266443
arxiv,6-7,0.30,HOPE,0.7917933130699089,0.7394065179642717,0.44463344855736264,-0.13541285738043443,-1.7490599053346918,-6.701445436410109
arxiv,2-6,0.30,HOPE,0.763464538031012,0.751188275289599,0.47890661349927677,-0.23734773055842687,-2.745846123733999,-6.0282973308276855
arxiv,2-7,0.30,HOPE,0.9105105105105105,0.7310122717311905,0.19295735751749135,-0.4826813738401726,-2.322829215087663,-7.977212038065676
arxiv,6-7,0.30,HOPE,0.7913571910871033,0.7379647855015044,0.4305582834003923,-0.07393122335377235,-1.7265153014144419,-6.821991816120808
arxiv,2-6,0.30,HOPE,0.7637181134153056,0.7529878279929383,0.47772340669543356,-0.24198776217992246,-2.8075173223704826,-6.037833781166401
arxiv,2-7,0.30,HOPE,0.9074797236407329,0.7228654995083199,0.17251713856789316,-0.5356395795400947,-2.2771491151625223,-7.570256735374519
