system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
homo,1-2,0.05,HOPE,0.795543254559648,0.8289828528050762,0.8520463070610141,0.046365095243564435,-12.237159432749632,-39.210669599886316
homo,1-3,0.05,HOPE,0.9875950799404899,0.6812114061133088,0.055020763792721764,-3.0299165834543773,-13.377490363166833,-32.979276093809816
homo,2-3,0.05,HOPE,0.9929306709661416,0.6547918445222342,0.05665307711680718,-3.438218189689676,-8.914922229172896,-33.42586904373724
homo,1-2,0.05,HOPE,0.804254916494504,0.8412205781254303,0.8589808790494446,0.05962515249722563,-16.980029250096592,-40.10910859826473
homo,1-3,0.05,HOPE,0.9875950799404899,0.6693668261125361,0.04584426632568737,-3.209502096468436,-12.191235318134709,-25.980047974912647
homo,2-3,0.05,HOPE,0.9929306709661416,0.6634507078254772,0.033762101700923176,-3.40779875202155,-8.984777249082898,-33.94219864671599
homo,1-2,0.05,HOPE,0.8048163130130344,0.8426164075519711,0.860310736612034,0.028690215879733014,-16.741435426152503,-40.83668934357577
homo,1-3,0.05,HOPE,0.9879932108207783,0.6348627556104816,0.03402348809550035,-3.110970652852372,-10.144028607023346,-26.932195401275532
homo,2-3,0.05,HOPE,0.9929058663028649,0.6573526343028863,0.03288336166486323,-3.43990410948408,-17.23030154109665,-32.91812899076517
homo,1-2,0.05,HOPE,0.7972953792777164,0.8309266935193036,0.8530797009350064,0.011261191089080769,-14.011185237283058,-40.582919466148766
homo,1-3,0.05,HOPE,0.9876998512247763,0.6596172923084378,0.06489722191893198,-2.9781289611880513,-11.68192110505073,-36.268648925364865
homo,2-3,0.05,HOPE,0.9928562569763115,0.6915400803716993,0.0649122894494708,-3.3478999960562357,-13.450196974464099,-37.89010784675896
homo,1-2,0.10,HOPE,0.8207518897139623,0.85932767008287,0.8791895114136136,-0.09221886335847738,-10.694155755544958,-28.497072042573393
homo,1-3,0.10,HOPE,0.9873924487403508,0.698621722169521,0.06279816979002106,-2.1997374569146926,-11.038008763748206,-25.36123359899661
homo,2-3,0.10,HOPE,0.9928651847197131,0.6775776545547683,0.05055083209486313,-2.700142280657085,-7.9786937891152006,-24.227045724354202
homo,1-2,0.10,HOPE,0.8209561547362375,0.8614900729056306,0.8815251855677415,-0.1056245235568944,-11.144505622458526,-29.069850396147114
homo,1-3,0.10,HOPE,0.9875251598062419,0.693810859149485,0.06306957552393547,-2.360720614736057,-9.925567202387384,-23.387964103700288
homo,2-3,0.10,HOPE,0.992891367528081,0.6301742553573273,0.03455898808928946,-2.7056755158813783,-7.455573866466027,-23.30833571722192
homo,1-2,0.10,HOPE,0.8222312866275973,0.8623721450536163,0.8831151957870912,-0.12023690412885978,-11.597911216408566,-29.388579503716198
homo,1-3,0.10,HOPE,0.9878127004490058,0.6729285758625189,0.052734055543439184,-2.35319053103052,-7.829294756009164,-22.440590794138952
homo,2-3,0.10,HOPE,0.9926426308485848,0.6763170150913911,0.030035035743614137,-2.6491202475038986,-12.181787784849037,-25.118371806859855
homo,1-2,0.10,HOPE,0.820786680541103,0.8611375241389287,0.8820356997552883,-0.14926008330709667,-11.981474802288675,-29.338716263978068
homo,1-3,0.10,HOPE,0.9871933821415142,0.7030339602372035,0.07425647460897025,-2.199690974284384,-9.542150180821789,-26.62290977287524
homo,2-3,0.10,HOPE,0.9929044589322651,0.6847908157181557,0.05847044183235389,-2.5755773980142025,-9.995933944478152,-26.32499190305775
homo,1-2,0.15,HOPE,0.8313512179210268,0.8788584957323542,0.8983465560450548,-0.23480260408109957,-8.690261369007283,-22.871353153639916
