system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
london,1-2,0.05,HOPE,0.8333333333333334,0.5964035964035964,0.2010133317766668,-1.7110486964618188,-0.9076933298823527,-11.959374170488534
london,1-3,0.05,HOPE,0.8716417910447761,0.5556133056133056,0.12206084803941937,-1.4712126911441519,-5.856604504335245,-6.690539306647224
london,2-3,0.05,HOPE,0.47368421052631576,0.483974358974359,0.2870951758050136,0.023807894029178808,72.30525061811493,-5.334550226543234
london,1-2,0.05,HOPE,0.8333333333333334,0.5964035964035964,0.2010133317766668,-1.7110518741871645,-0.9076822771486889,-11.959384878346148
london,1-3,0.05,HOPE,0.8716417910447761,0.5556133056133056,0.12206084803941937,-1.4712399531491593,-5.8559180696275455,-6.690166394705624
london,2-3,0.05,HOPE,0.47368421052631576,0.483974358974359,0.2870951758050136,0.02380789402913483,72.30525061810128,-5.3345502265422775
london,1-2,0.05,HOPE,0.8333333333333334,0.5742074484456756,0.18953816181031402,-1.7060100982005466,-1.3974168976086223,-4.796074903141583
london,1-3,0.05,HOPE,0.8865671641791045,0.5773562023562024,0.1472136234473152,-1.460485252101439,-3.057700310082611,-8.058944193220658
london,2-3,0.05,HOPE,0.543859649122807,0.6151898734177216,0.35641940724332505,3.2600535410620894,-185.6353335540625,1.4745435859399068
london,1-2,0.05,HOPE,0.8333333333333334,0.5742074484456756,0.18953816181031402,-1.705955719645442,-1.3971199327448118,-4.796197633908143
london,1-3,0.05,HOPE,0.8865671641791045,0.5773562023562024,0.1472136234473152,-1.4604836768293894,-3.0577448824272118,-8.059039087698551
london,2-3,0.05,HOPE,0.543859649122807,0.6151898734177216,0.35641940724332505,3.260051550590467,-185.63522481864823,1.4745409220784176
london,1-2,0.05,HOPE,0.8362573099415205,0.4719030969030969,0.15860750585412917,-1.5644404608507319,-1.3139227096227952,-10.950639235907781
london,1-3,0.05,HOPE,0.8746268656716418,0.5547581073896863,0.12461663363818996,-1.9264646693041003,-1.1495372956007053,-13.736437868280564
london,2-3,0.05,HOPE,0.6929824561403509,0.4777576853526221,0.3075367408555046,-0.1356359293605003,-15.68625367768446,-1.678733495127576
london,1-2,0.05,HOPE,0.8362573099415205,0.4719030969030969,0.15860750585412917,-1.5644862933582848,-1.3139724893688376,-10.950783421830863
london,1-3,0.05,HOPE,0.8746268656716418,0.5547581073896863,0.12461663363818996,-1.9264645528131774,-1.149535859512568,-13.736429353037888
london,2-3,0.05,HOPE,0.6929824561403509,0.4777576853526221,0.3075367408555046,-0.13563594508646923,-15.686252359273889,-1.6787334628267636
london,1-2,0.05,HOPE,0.8333333333333334,0.48919667590027704,0.18212143446859455,-1.759826659413573,0.2937877158204701,-4.517423047730204
london,1-3,0.05,HOPE,0.8865671641791045,0.47891192628034734,0.10712884833597766,-1.6217631440753655,-1.2995572827225212,-4.600649724309951
london,2-3,0.05,HOPE,0.6578947368421053,0.36202531645569624,0.240649385156296,-0.20165576909839378,1.4308964839484721,-8.628999081095484
london,1-2,0.05,HOPE,0.8333333333333334,0.48919667590027704,0.18212143446859455,-1.7598366723020238,0.2942331151072785,-4.517581938850543
london,1-3,0.05,HOPE,0.8865671641791045,0.47891192628034734,0.10712884833597766,-1.6217631433979773,-1.2995573098032966,-4.600649846834855
london,2-3,0.05,HOPE,0.6578947368421053,0.36202531645569624,0.240649385156296,-0.20165108539119753,1.4306807266002108,-8.628989059003079
london,1-2,0.05,HOPE,0.827485380116959,0.6255463219452139,0.21496542167592797,-0.9912309791171743,-7.12643512032485,-8.635235437105964
london,1-3,0.05,HOPE,0.8865671641791045,0.5352649300017721,0.16777879607500737,-1.371737280655604,-4.595149772273126,-6.9732271128999646
london,2-3,0.05,HOPE,0.6052631578947368,0.5066907775768535,0.3009140034273392,-0.12860097324084532,38.40841544711963,-4.325844176235955
london,1-2,0.10,HOPE,0.8173374613003096,0.46219426974143957,0.14763433683278393,-1.2741365761114996,-0.7720760836876766,-6.907043764896929
london,1-3,0.10,HOPE,0.8836477987421384,0.6378763104741753,0.15434946482765627,-0.9419724619924247,-2.840310182141567,-5.023471238866344
london,2-3,0.10,HOPE,0.6203703703703703,0.3736089030206678,0.24411386746736238,0.01593801514925567,-5.824096921292596,-1.6319009282457493
london,1-2,0.10,HOPE,0.8173374613003096,0.46219426974143957,0.14763433683278393,-1.274173593695161,-0.7719010559673224,-6.907003307151223
london,1-3,0.10,HOPE,0.8836477987421384,0.6378763104741753,0.15434946482765627,-0.9419475898800819,-2.8405113930848045,-5.023611927878885
london,2-3,0.10,HOPE,0.6203703703703703,0.3736089030206678,0.24411386746736238,0.015867440166731386,-5.821526104610375,-1.63194928321264
london,1-2,0.10,HOPE,0.8359133126934984,0.4645702306079665,0.16314421209456736,-1.6495278206598911,-0.7072114949923031,-5.01990989998155
london,1-3,0.10,HOPE,0.8738170347003155,0.7447876447876447,0.23550677298578196,-0.6732316492286811,-6.396110047452829,-9.862486604556738
london,2-3,0.10,HOPE,0.6203703703703703,0.4670707070707071,0.2752982236886926,-0.44465251750804224,-17.950985822258364,-6.231240167187451
london,1-2,0.10,HOPE,0.8359133126934984,0.4645702306079665,0.16314421209456736,-1.6492140132242157,-0.70900473347424,-5.019876306691227
london,1-3,0.10,HOPE,0.8738170347003155,0.7447876447876447,0.23550677298578196,-0.6732664648522927,-6.395789072006184,-9.862313527630223
london,2-3,0.10,HOPE,0.6203703703703703,0.4670707070707071,0.2752982236886926,-0.44465263098077207,-17.950960707171625,-6.23123951472425
london,1-2,0.10,HOPE,0.8297213622291022,0.5617051013277428,0.19693563480734788,-0.8522527858837992,-4.606812911606291,-7.547922938325069
london,1-3,0.10,HOPE,0.8643533123028391,0.6146718146718146,0.1400303460392928,-1.5257854910112325,-3.4233627099240738,-6.239777071448336
london,2-3,0.10,HOPE,0.6759259259259259,0.4260731319554849,0.288726725318171,-0.5676693394538341,-0.06750952610062695,-2.3226447995836734
london,1-2,0.10,HOPE,0.8297213622291022,0.5617051013277428,0.19693563480734788,-0.8524029870624483,-4.605162618533297,-7.547322380922931
london,1-3,0.10,HOPE,0.8643533123028391,0.6146718146718146,0.1400303460392928,-1.525796879315815,-3.423105643743799,-6.239656031073926
london,2-3,0.10,HOPE,0.6759259259259259,0.4260731319554849,0.288726725318171,-0.567673181408961,-0.06736851345767736,-2.3226126527531004
london,1-2,0.10,HOPE,0.8297213622291022,0.5751222921034241,0.19604745683757793,-1.5428027486256466,-3.1301087056697243,-8.200571987113188
london,1-3,0.10,HOPE,0.8832807570977917,0.6017200474495847,0.174772476609615,-1.3449850848529092,-1.498118139996436,-6.897188587386247
london,2-3,0.10,HOPE,0.6574074074074074,0.4852525252525252,0.30433051726292265,-0.33622839654303194,0.5835436502134681,-4.192502684812895
london,1-2,0.10,HOPE,0.8297213622291022,0.5751222921034241,0.19604745683757793,-1.5428073899901307,-3.130039107271988,-8.200604712773208
london,1-3,0.10,HOPE,0.8832807570977917,0.6017200474495847,0.174772476609615,-1.344985001359417,-1.4981406021414532,-6.897268109391482
london,2-3,0.10,HOPE,0.6574074074074074,0.4852525252525252,0.30433051726292265,-0.3362285472628463,0.5835516397394811,-4.192503520642672
london,1-2,0.10,HOPE,0.8148148148148148,0.6240740740740741,0.20327243534645617,-1.008419429442174,-4.154483437124816,-7.350403447296707
london,1-3,0.10,HOPE,0.8927444794952681,0.5419137999209174,0.20559425447798907,-1.1417034732834574,-3.4288633397983217,-8.210921623824186
