,N,gamma,kmin,prob,sign,pfi,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,repetition,Accuracy,AUROC
0,500,2.0,3,0.0,-1,0.33,128,30,100,8,10,1,4,1,0.5043816942551119,0.5202067419650916
1,500,2.0,3,0.0,-1,0.67,128,30,100,8,10,1,4,1,0.4970873786407767,0.4806535050675676
2,500,2.0,3,0.0,-1,0.95,128,30,100,8,10,1,4,1,0.51875,0.4647160068846815
3,500,2.0,3,0.0,1,0.33,128,30,100,8,10,1,4,1,0.4957436154231347,0.5032469681923505
4,500,2.0,3,0.0,1,0.67,128,30,100,8,10,1,4,1,0.5009041591320073,0.49554622508240465
5,500,2.0,3,0.0,1,0.95,128,30,100,8,10,1,4,1,0.4840764331210191,0.49821312540610785
6,500,2.0,3,0.33,-1,0.33,128,30,100,8,10,1,4,1,0.5038610038610039,0.49715625326117746
7,500,2.0,3,0.33,-1,0.67,128,30,100,8,10,1,4,1,0.5120967741935484,0.5324640463330513
8,500,2.0,3,0.33,-1,0.95,128,30,100,8,10,1,4,1,0.50920245398773,0.4212349397590362
9,500,2.0,3,0.33,1,0.33,128,30,100,8,10,1,4,1,0.4868173258003766,0.511159565595443
10,500,2.0,3,0.33,1,0.67,128,30,100,8,10,1,4,1,0.49853085210577863,0.5216608853143418
11,500,2.0,3,0.33,1,0.95,128,30,100,8,10,1,4,1,0.4968553459119497,0.4844936708860759
12,500,2.0,3,0.67,-1,0.33,128,30,100,8,10,1,4,1,0.49953574744661094,0.5171700312433186
13,500,2.0,3,0.67,-1,0.67,128,30,100,8,10,1,4,1,0.5009881422924901,0.48048508992911126
14,500,2.0,3,0.67,-1,0.95,128,30,100,8,10,1,4,1,0.5357142857142857,0.407977207977208
15,500,2.0,3,0.67,1,0.33,128,30,100,8,10,1,4,1,0.5023696682464455,0.5077866127583108
16,500,2.0,3,0.67,1,0.67,128,30,100,8,10,1,4,1,0.5024437927663734,0.5298517731418131
17,500,2.0,3,0.67,1,0.95,128,30,100,8,10,1,4,1,0.5617283950617284,0.5092091007583965
18,500,2.0,3,1.0,-1,0.33,128,30,100,8,10,1,4,1,0.49594272076372314,0.4754854245049145
19,500,2.0,3,1.0,-1,0.67,128,30,100,8,10,1,4,1,0.5101476014760148,0.48686670548931865
20,500,2.0,3,1.0,-1,0.95,128,30,100,8,10,1,4,1,0.5135135135135135,0.5113304093567251
21,500,2.0,3,1.0,1,0.33,128,30,100,8,10,1,4,1,0.5106075216972035,0.5326988468533843
22,500,2.0,3,1.0,1,0.67,128,30,100,8,10,1,4,1,0.5004878048780488,0.5039671661793372
23,500,2.0,3,1.0,1,0.95,128,30,100,8,10,1,4,1,0.47435897435897434,0.501977587343441
24,500,3.0,3,0.0,-1,0.33,128,30,100,8,10,1,4,1,0.49470404984423677,0.5115337907301059
25,500,3.0,3,0.0,-1,0.67,128,30,100,8,10,1,4,1,0.5030599755201959,0.4983879280380665
26,500,3.0,3,0.0,-1,0.95,128,30,100,8,10,1,4,1,0.6111111111111112,0.464935064935065
27,500,3.0,3,0.0,1,0.33,128,30,100,8,10,1,4,1,0.5,0.5089121101000782
28,500,3.0,3,0.0,1,0.67,128,30,100,8,10,1,4,1,0.5006226650062267,0.4933003312613988
29,500,3.0,3,0.0,1,0.95,128,30,100,8,10,1,4,1,0.475,0.44527986633249794
30,500,3.0,3,0.33,-1,0.33,128,30,100,8,10,1,4,1,0.5006075334143378,0.49242021590721186
31,500,3.0,3,0.33,-1,0.67,128,30,100,8,10,1,4,1,0.4993581514762516,0.4932239140465362
32,500,3.0,3,0.33,-1,0.95,128,30,100,8,10,1,4,1,0.46218487394957986,0.5625
33,500,3.0,3,0.33,1,0.33,128,30,100,8,10,1,4,1,0.4990859232175503,0.49334390940230355
34,500,3.0,3,0.33,1,0.67,128,30,100,8,10,1,4,1,0.48590604026845635,0.5122614428111882
35,500,3.0,3,0.33,1,0.95,128,30,100,8,10,1,4,1,0.504,0.5061443932411676
36,500,3.0,3,0.67,-1,0.33,128,30,100,8,10,1,4,1,0.5077208153180975,0.5008868414705999
37,500,3.0,3,0.67,-1,0.67,128,30,100,8,10,1,4,1,0.5051150895140665,0.46990481797664607
38,500,3.0,3,0.67,-1,0.95,128,30,100,8,10,1,4,1,0.4864864864864865,0.5185185185185185
39,500,3.0,3,0.67,1,0.33,128,30,100,8,10,1,4,1,0.5144437615242778,0.4821378340365682
40,500,3.0,3,0.67,1,0.67,128,30,100,8,10,1,4,1,0.5240506329113924,0.5592751053551238
41,500,3.0,3,0.67,1,0.95,128,30,100,8,10,1,4,1,0.5446428571428571,0.4969463195114111
42,500,3.0,3,1.0,-1,0.33,128,30,100,8,10,1,4,1,0.509686038744155,0.5211448427082255
43,500,3.0,3,1.0,-1,0.67,128,30,100,8,10,1,4,1,0.5,0.5394560049011076
44,500,3.0,3,1.0,-1,0.95,128,30,100,8,10,1,4,1,0.5185185185185185,0.4879120879120879
45,500,3.0,3,1.0,1,0.33,128,30,100,8,10,1,4,1,0.5025773195876289,0.5059045768566495
46,500,3.0,3,1.0,1,0.67,128,30,100,8,10,1,4,1,0.5023529411764706,0.5485796225245125
47,500,3.0,3,1.0,1,0.95,128,30,100,8,10,1,4,1,0.48214285714285715,0.5363984674329503
