,N,gamma,kmin,prob,sign,pfi,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,repetition,Accuracy,AUROC
0,500,2.0,3,0.0,-1,0.33,128,30,100,8,10,1,4,1,0.4944029850746269,0.4768128176564785
1,500,2.0,3,0.0,-1,0.67,128,30,100,8,10,1,4,1,0.5074906367041199,0.5228101805732887
2,500,2.0,3,0.0,-1,0.95,128,30,100,8,10,1,4,1,0.5476190476190477,0.5596395881006865
3,500,2.0,3,0.0,1,0.33,128,30,100,8,10,1,4,1,0.5058990089664936,0.506518268257566
4,500,2.0,3,0.0,1,0.67,128,30,100,8,10,1,4,1,0.4897560975609756,0.4833667243073595
5,500,2.0,3,0.0,1,0.95,128,30,100,8,10,1,4,1,0.475,0.48558897243107774
6,500,2.0,3,0.33,-1,0.33,128,30,100,8,10,1,4,1,0.4943310657596372,0.4767018321600532
7,500,2.0,3,0.33,-1,0.67,128,30,100,8,10,1,4,1,0.48155737704918034,0.4992010764443697
8,500,2.0,3,0.33,-1,0.95,128,30,100,8,10,1,4,1,0.4620253164556962,0.5074939564867043
9,500,2.0,3,0.33,1,0.33,128,30,100,8,10,1,4,1,0.5067763794772507,0.49781749435041756
10,500,2.0,3,0.33,1,0.67,128,30,100,8,10,1,4,1,0.48169014084507045,0.47964516766957654
11,500,2.0,3,0.33,1,0.95,128,30,100,8,10,1,4,1,0.5671641791044776,0.5887023593466425
12,500,2.0,3,0.67,-1,0.33,128,30,100,8,10,1,4,1,0.4944186046511628,0.5118658178595661
13,500,2.0,3,0.67,-1,0.67,128,30,100,8,10,1,4,1,0.506398537477148,0.4902527075812274
14,500,2.0,3,0.67,-1,0.95,128,30,100,8,10,1,4,1,0.4857142857142857,0.5206535947712418
15,500,2.0,3,0.67,1,0.33,128,30,100,8,10,1,4,1,0.5043562439496612,0.4919272832241007
16,500,2.0,3,0.67,1,0.67,128,30,100,8,10,1,4,1,0.4742468415937804,0.5372223568982758
17,500,2.0,3,0.67,1,0.95,128,30,100,8,10,1,4,1,0.4805194805194805,0.5471283783783785
18,500,2.0,3,1.0,-1,0.33,128,30,100,8,10,1,4,1,0.5022977941176471,0.5079097562953652
19,500,2.0,3,1.0,-1,0.67,128,30,100,8,10,1,4,1,0.48810656517602286,0.4636513837257331
20,500,2.0,3,1.0,-1,0.95,128,30,100,8,10,1,4,1,0.45962732919254656,0.48462255358807077
21,500,2.0,3,1.0,1,0.33,128,30,100,8,10,1,4,1,0.4967197750702905,0.503720002810864
22,500,2.0,3,1.0,1,0.67,128,30,100,8,10,1,4,1,0.5156110615521855,0.46996055490769595
23,500,2.0,3,1.0,1,0.95,128,30,100,8,10,1,4,1,0.543859649122807,0.5397022332506204
24,500,3.0,3,0.0,-1,0.33,128,30,100,8,10,1,4,1,0.5047225501770957,0.5059922352563969
25,500,3.0,3,0.0,-1,0.67,128,30,100,8,10,1,4,1,0.4749679075738126,0.5100442741029538
26,500,3.0,3,0.0,-1,0.95,128,30,100,8,10,1,4,1,0.42727272727272725,0.5623100303951367
27,500,3.0,3,0.0,1,0.33,128,30,100,8,10,1,4,1,0.4953789279112754,0.5117149296253775
28,500,3.0,3,0.0,1,0.67,128,30,100,8,10,1,4,1,0.4956843403205919,0.5076329842231386
29,500,3.0,3,0.0,1,0.95,128,30,100,8,10,1,4,1,0.5225225225225225,0.41639557579700714
30,500,3.0,3,0.33,-1,0.33,128,30,100,8,10,1,4,1,0.4996805111821086,0.5065392140531042
31,500,3.0,3,0.33,-1,0.67,128,30,100,8,10,1,4,1,0.4654255319148936,0.5176545842217484
32,500,3.0,3,0.33,-1,0.95,128,30,100,8,10,1,4,1,0.4962962962962963,0.5526777875329236
33,500,3.0,3,0.33,1,0.33,128,30,100,8,10,1,4,1,0.5033072760072159,0.4718729117307575
34,500,3.0,3,0.33,1,0.67,128,30,100,8,10,1,4,1,0.5118733509234829,0.4945319030370577
35,500,3.0,3,0.33,1,0.95,128,30,100,8,10,1,4,1,0.5283018867924528,0.4589285714285714
36,500,3.0,3,0.67,-1,0.33,128,30,100,8,10,1,4,1,0.5009560229445507,0.49190495224539266
37,500,3.0,3,0.67,-1,0.67,128,30,100,8,10,1,4,1,0.4980026631158455,0.49669498858139827
38,500,3.0,3,0.67,-1,0.95,128,30,100,8,10,1,4,1,0.38636363636363635,0.5942870975550714
39,500,3.0,3,0.67,1,0.33,128,30,100,8,10,1,4,1,0.5052307692307693,0.4973397325188915
40,500,3.0,3,0.67,1,0.67,128,30,100,8,10,1,4,1,0.508578431372549,0.5185289787579245
41,500,3.0,3,0.67,1,0.95,128,30,100,8,10,1,4,1,0.5892857142857143,0.5036231884057971
42,500,3.0,3,1.0,-1,0.33,128,30,100,8,10,1,4,1,0.5059710873664363,0.4848221200195976
43,500,3.0,3,1.0,-1,0.67,128,30,100,8,10,1,4,1,0.5076142131979695,0.4970682989690721
44,500,3.0,3,1.0,-1,0.95,128,30,100,8,10,1,4,1,0.4573643410852713,0.5295399515738499
45,500,3.0,3,1.0,1,0.33,128,30,100,8,10,1,4,1,0.5099875156054932,0.49473840132845814
46,500,3.0,3,1.0,1,0.67,128,30,100,8,10,1,4,1,0.4759556103575832,0.4936848521792136
47,500,3.0,3,1.0,1,0.95,128,30,100,8,10,1,4,1,0.46846846846846846,0.5384615384615384
