,N,gamma,kmin,prob,sign,pfi,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,repetition,Accuracy,AUROC
0,500,2.0,3,0.0,-1,0.33,128,30,100,8,10,1,4,1,0.4413825315273237,0.5077323950790518
1,500,2.0,3,0.0,-1,0.67,128,30,100,8,10,1,4,1,0.48324022346368717,0.4903249766584639
2,500,2.0,3,0.0,-1,0.95,128,30,100,8,10,1,4,1,0.5370370370370371,0.4879693486590039
3,500,2.0,3,0.0,1,0.33,128,30,100,8,10,1,4,1,0.4928735632183908,0.5188517312814441
4,500,2.0,3,0.0,1,0.67,128,30,100,8,10,1,4,1,0.49658536585365853,0.5302836474395582
5,500,2.0,3,0.0,1,0.95,128,30,100,8,10,1,4,1,0.5026737967914439,0.43845801876000917
6,500,2.0,3,0.33,-1,0.33,128,30,100,8,10,1,4,1,0.4682854311199207,0.49957602846258986
7,500,2.0,3,0.33,-1,0.67,128,30,100,8,10,1,4,1,0.4935424354243542,0.49818539601263756
8,500,2.0,3,0.33,-1,0.95,128,30,100,8,10,1,4,1,0.5089820359281437,0.5031563845050214
9,500,2.0,3,0.33,1,0.33,128,30,100,8,10,1,4,1,0.4806240563663815,0.5090756568149489
10,500,2.0,3,0.33,1,0.67,128,30,100,8,10,1,4,1,0.5091787439613527,0.5102139169288015
11,500,2.0,3,0.33,1,0.95,128,30,100,8,10,1,4,1,0.4502923976608187,0.4842497927604311
12,500,2.0,3,0.67,-1,0.33,128,30,100,8,10,1,4,1,0.4535855697316322,0.505327460737079
13,500,2.0,3,0.67,-1,0.67,128,30,100,8,10,1,4,1,0.48602794411177647,0.4861062384384767
14,500,2.0,3,0.67,-1,0.95,128,30,100,8,10,1,4,1,0.5224719101123596,0.5996204933586338
15,500,2.0,3,0.67,1,0.33,128,30,100,8,10,1,4,1,0.44214876033057854,0.5018092715678666
16,500,2.0,3,0.67,1,0.67,128,30,100,8,10,1,4,1,0.5036496350364964,0.5004915180513266
17,500,2.0,3,0.67,1,0.95,128,30,100,8,10,1,4,1,0.4971751412429379,0.48978549540347294
18,500,2.0,3,1.0,-1,0.33,128,30,100,8,10,1,4,1,0.4555449330783939,0.4940027840462996
19,500,2.0,3,1.0,-1,0.67,128,30,100,8,10,1,4,1,0.4971857410881801,0.48779251499535353
20,500,2.0,3,1.0,-1,0.95,128,30,100,8,10,1,4,1,0.50920245398773,0.45346385542168677
21,500,2.0,3,1.0,1,0.33,128,30,100,8,10,1,4,1,0.46525096525096526,0.5329264381191073
22,500,2.0,3,1.0,1,0.67,128,30,100,8,10,1,4,1,0.49637305699481865,0.4990592945138399
23,500,2.0,3,1.0,1,0.95,128,30,100,8,10,1,4,1,0.49122807017543857,0.518472906403941
24,500,3.0,3,0.0,-1,0.33,128,30,100,8,10,1,4,1,0.42075823492852704,0.48242477805005424
25,500,3.0,3,0.0,-1,0.67,128,30,100,8,10,1,4,1,0.4829683698296837,0.4951481042654029
26,500,3.0,3,0.0,-1,0.95,128,30,100,8,10,1,4,1,0.48672566371681414,0.5047021943573669
27,500,3.0,3,0.0,1,0.33,128,30,100,8,10,1,4,1,0.505859375,0.5017912396259845
28,500,3.0,3,0.0,1,0.67,128,30,100,8,10,1,4,1,0.4797768479776848,0.5123555915872843
29,500,3.0,3,0.0,1,0.95,128,30,100,8,10,1,4,1,0.45390070921985815,0.43262987012987014
30,500,3.0,3,0.33,-1,0.33,128,30,100,8,10,1,4,1,0.44078144078144077,0.4865730578354648
31,500,3.0,3,0.33,-1,0.67,128,30,100,8,10,1,4,1,0.48308525033829497,0.5046913942237209
32,500,3.0,3,0.33,-1,0.95,128,30,100,8,10,1,4,1,0.5,0.5116666666666667
33,500,3.0,3,0.33,1,0.33,128,30,100,8,10,1,4,1,0.45535714285714285,0.47009364737165127
34,500,3.0,3,0.33,1,0.67,128,30,100,8,10,1,4,1,0.5079787234042553,0.4990129274660893
35,500,3.0,3,0.33,1,0.95,128,30,100,8,10,1,4,1,0.4330708661417323,0.4643939393939394
36,500,3.0,3,0.67,-1,0.33,128,30,100,8,10,1,4,1,0.432482887367766,0.5375422867693528
37,500,3.0,3,0.67,-1,0.67,128,30,100,8,10,1,4,1,0.5280487804878049,0.5082421685955154
38,500,3.0,3,0.67,-1,0.95,128,30,100,8,10,1,4,1,0.5431034482758621,0.549865229110512
39,500,3.0,3,0.67,1,0.33,128,30,100,8,10,1,4,1,0.45883092394720304,0.4787757540130275
40,500,3.0,3,0.67,1,0.67,128,30,100,8,10,1,4,1,0.4908200734394125,0.49404312442318987
41,500,3.0,3,0.67,1,0.95,128,30,100,8,10,1,4,1,0.49640287769784175,0.46563146997929605
42,500,3.0,3,1.0,-1,0.33,128,30,100,8,10,1,4,1,0.453259532595326,0.4577995324592793
43,500,3.0,3,1.0,-1,0.67,128,30,100,8,10,1,4,1,0.503001200480192,0.5072927476075176
44,500,3.0,3,1.0,-1,0.95,128,30,100,8,10,1,4,1,0.49586776859504134,0.4863387978142077
45,500,3.0,3,1.0,1,0.33,128,30,100,8,10,1,4,1,0.445141065830721,0.4783398269827643
46,500,3.0,3,1.0,1,0.67,128,30,100,8,10,1,4,1,0.49401913875598086,0.5177038258122123
47,500,3.0,3,1.0,1,0.95,128,30,100,8,10,1,4,1,0.5573770491803278,0.4278322440087146
