,N,gamma,kmin,prob,sign,pfi,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,repetition,largest_component,Accuracy,AUROC
0,500,2.0,3,0.0,-1,0.33,128,30,100,8,10,1,4,1,True,0.4992145774426642,0.5126674683935115
1,500,2.0,3,0.0,-1,0.67,128,30,100,8,10,1,4,1,True,0.5004631058968817,0.5009735875069677
2,500,2.0,3,0.0,-1,0.95,128,30,100,8,10,1,4,1,True,0.4988543371522095,0.49667222973679565
3,500,2.0,3,0.0,1,0.33,128,30,100,8,10,1,4,1,True,0.4998486224644263,0.5013785760482677
4,500,2.0,3,0.0,1,0.67,128,30,100,8,10,1,4,1,True,0.49768160741885625,0.506099187768753
5,500,2.0,3,0.0,1,0.95,128,30,100,8,10,1,4,1,True,0.501610824742268,0.48896121041828583
6,500,2.0,3,0.33,-1,0.33,128,30,100,8,10,1,4,1,True,0.5003198976327575,0.4786984520468545
7,500,2.0,3,0.33,-1,0.67,128,30,100,8,10,1,4,1,True,0.4996688741721854,0.4939550870378874
8,500,2.0,3,0.33,-1,0.95,128,30,100,8,10,1,4,1,True,0.5,0.4946945807847769
9,500,2.0,3,0.33,1,0.33,128,30,100,8,10,1,4,1,True,0.5003211303789339,0.5123425903620422
10,500,2.0,3,0.33,1,0.67,128,30,100,8,10,1,4,1,True,0.5011128775834658,0.5028405782097239
11,500,2.0,3,0.33,1,0.95,128,30,100,8,10,1,4,1,True,0.5001585791309864,0.5174526586173709
12,500,2.0,3,0.67,-1,0.33,128,30,100,8,10,1,4,1,True,0.5007790588968526,0.5006529641308664
13,500,2.0,3,0.67,-1,0.67,128,30,100,8,10,1,4,1,True,0.499692118226601,0.496054978908953
14,500,2.0,3,0.67,-1,0.95,128,30,100,8,10,1,4,1,True,0.5001596933886937,0.5038771171744622
15,500,2.0,3,0.67,1,0.33,128,30,100,8,10,1,4,1,True,0.5003225806451613,0.5042788761706556
16,500,2.0,3,0.67,1,0.67,128,30,100,8,10,1,4,1,True,0.4992030602486452,0.5033993364729333
17,500,2.0,3,0.67,1,0.95,128,30,100,8,10,1,4,1,True,0.4983595800524934,0.49798260619465406
18,500,2.0,3,1.0,-1,0.33,128,30,100,8,10,1,4,1,True,0.49820359281437127,0.4829884139205067
19,500,2.0,3,1.0,-1,0.67,128,30,100,8,10,1,4,1,True,0.500835840855901,0.4977455987308821
20,500,2.0,3,1.0,-1,0.95,128,30,100,8,10,1,4,1,True,0.4986098239110287,0.51642141967127
21,500,2.0,3,1.0,1,0.33,128,30,100,8,10,1,4,1,True,0.5001547508511297,0.5049299957085491
22,500,2.0,3,1.0,1,0.67,128,30,100,8,10,1,4,1,True,0.5001539882968894,0.4867267481917874
23,500,2.0,3,1.0,1,0.95,128,30,100,8,10,1,4,1,True,0.49968454258675077,0.5185799514692957
24,500,3.0,3,0.0,-1,0.33,128,30,100,8,10,1,4,1,True,0.500406834825061,0.48832989062789656
25,500,3.0,3,0.0,-1,0.67,128,30,100,8,10,1,4,1,True,0.5002141327623126,0.4937779518963271
26,500,3.0,3,0.0,-1,0.95,128,30,100,8,10,1,4,1,True,0.4995766299745978,0.4968231093521466
27,500,3.0,3,0.0,1,0.33,128,30,100,8,10,1,4,1,True,0.49979140592407173,0.502937200031746
28,500,3.0,3,0.0,1,0.67,128,30,100,8,10,1,4,1,True,0.49873524451939294,0.5033012533174271
29,500,3.0,3,0.0,1,0.95,128,30,100,8,10,1,4,1,True,0.4986642920747996,0.5142366306587911
30,500,3.0,3,0.33,-1,0.33,128,30,100,8,10,1,4,1,True,0.5,0.5124372058871595
31,500,3.0,3,0.33,-1,0.67,128,30,100,8,10,1,4,1,True,0.499790004199916,0.4812127369839624
32,500,3.0,3,0.33,-1,0.95,128,30,100,8,10,1,4,1,True,0.4989393296563428,0.5156826913661315
33,500,3.0,3,0.33,1,0.33,128,30,100,8,10,1,4,1,True,0.5025402201524132,0.5013314347661493
34,500,3.0,3,0.33,1,0.67,128,30,100,8,10,1,4,1,True,0.5,0.5148415235931865
35,500,3.0,3,0.33,1,0.95,128,30,100,8,10,1,4,1,True,0.49813664596273294,0.49078897914729125
36,500,3.0,3,0.67,-1,0.33,128,30,100,8,10,1,4,1,True,0.5002065262288311,0.5030334877943916
37,500,3.0,3,0.67,-1,0.67,128,30,100,8,10,1,4,1,True,0.4991304347826087,0.49517920240393376
38,500,3.0,3,0.67,-1,0.95,128,30,100,8,10,1,4,1,True,0.49957446808510636,0.4926692567998239
39,500,3.0,3,0.67,1,0.33,128,30,100,8,10,1,4,1,True,0.499163179916318,0.5053153980228582
40,500,3.0,3,0.67,1,0.67,128,30,100,8,10,1,4,1,True,0.4997786631252767,0.5026532995759424
41,500,3.0,3,0.67,1,0.95,128,30,100,8,10,1,4,1,True,0.5006462731581215,0.5083058723245009
42,500,3.0,3,1.0,-1,0.33,128,30,100,8,10,1,4,1,True,0.5010706638115632,0.49765966718853394
43,500,3.0,3,1.0,-1,0.67,128,30,100,8,10,1,4,1,True,0.502116850127011,0.4809703565884803
44,500,3.0,3,1.0,-1,0.95,128,30,100,8,10,1,4,1,True,0.501673640167364,0.5010549653398543
45,500,3.0,3,1.0,1,0.33,128,30,100,8,10,1,4,1,True,0.49912739965095987,0.5035939670086012
46,500,3.0,3,1.0,1,0.67,128,30,100,8,10,1,4,1,True,0.4993542832544124,0.49083597711032706
47,500,3.0,3,1.0,1,0.95,128,30,100,8,10,1,4,1,True,0.49898580121703856,0.5025660774826372
