,N,gamma,kmin,prob,sign,pfi,repetition,largest_component,Accuracy,AUROC
0,500,2.0,3,0.0,-1,0.33,1,True,0.43814121907060954,0.5055972704201304
1,500,2.0,3,0.0,-1,0.67,1,True,0.35720988426649986,0.5052563358982969
2,500,2.0,3,0.0,-1,0.95,1,True,0.6030759162303665,0.4558957059839368
3,500,2.0,3,0.0,1,0.33,1,True,0.4754741661216481,0.5001736645792697
4,500,2.0,3,0.0,1,0.67,1,True,0.43357567746199605,0.5010359672631723
5,500,2.0,3,0.0,1,0.95,1,True,0.4316688567674113,0.5160022689558832
6,500,2.0,3,0.33,-1,0.33,1,True,0.4565749235474006,0.5079112308167102
7,500,2.0,3,0.33,-1,0.67,1,True,0.4026824703680599,0.5260450536171902
8,500,2.0,3,0.33,-1,0.95,1,True,0.5522713130056005,0.5383487354038518
9,500,2.0,3,0.33,1,0.33,1,True,0.48853729415563446,0.49306837953301536
10,500,2.0,3,0.33,1,0.67,1,True,0.46824907521578296,0.4796437209291718
11,500,2.0,3,0.33,1,0.95,1,True,0.46556559675911496,0.5554389380434723
12,500,2.0,3,0.67,-1,0.33,1,True,0.49286898839137644,0.4937739379303547
13,500,2.0,3,0.67,-1,0.67,1,True,0.4274041483343809,0.4869838425427166
14,500,2.0,3,0.67,-1,0.95,1,True,0.5087665333743464,0.45054556189279515
15,500,2.0,3,0.67,1,0.33,1,True,0.4950621216948073,0.4676628528559737
16,500,2.0,3,0.67,1,0.67,1,True,0.4172771672771673,0.5024188979664859
17,500,2.0,3,0.67,1,0.95,1,True,0.4922027290448343,0.4670057812449204
18,500,2.0,3,1.0,-1,0.33,1,True,0.4864457831325301,0.5185659373838722
19,500,2.0,3,1.0,-1,0.67,1,True,0.4024627349319507,0.5066024766795374
20,500,2.0,3,1.0,-1,0.95,1,True,0.5344827586206896,0.5387443131008784
21,500,2.0,3,1.0,1,0.33,1,True,0.45946754412204605,0.4834439314220266
22,500,2.0,3,1.0,1,0.67,1,True,0.40236686390532544,0.5145067705763137
23,500,2.0,3,1.0,1,0.95,1,True,0.3556985294117647,0.5447315185265282
24,500,3.0,3,0.0,-1,0.33,1,True,0.4932349323493235,0.5005903838705513
25,500,3.0,3,0.0,-1,0.67,1,True,0.4946695095948827,0.5135398769525312
26,500,3.0,3,0.0,-1,0.95,1,True,0.5024048972452995,0.534389167263183
27,500,3.0,3,0.0,1,0.33,1,True,0.47568523430592397,0.5029363019481534
28,500,3.0,3,0.0,1,0.67,1,True,0.42710997442455245,0.5141926031013251
29,500,3.0,3,0.0,1,0.95,1,True,0.3950406156477127,0.5242745633634758
30,500,3.0,3,0.33,-1,0.33,1,True,0.4970464135021097,0.5045665758692517
31,500,3.0,3,0.33,-1,0.67,1,True,0.4861344537815126,0.46073945812804407
32,500,3.0,3,0.33,-1,0.95,1,True,0.509465713083719,0.5057315515683892
33,500,3.0,3,0.33,1,0.33,1,True,0.4963937208315656,0.488856296117092
34,500,3.0,3,0.33,1,0.67,1,True,0.4561769616026711,0.5032406542902611
35,500,3.0,3,0.33,1,0.95,1,True,0.40672782874617736,0.5056998109733194
36,500,3.0,3,0.67,-1,0.33,1,True,0.4867439933719967,0.50871307830067
37,500,3.0,3,0.67,-1,0.67,1,True,0.48596564725596986,0.48453427311785685
38,500,3.0,3,0.67,-1,0.95,1,True,0.4786813186813187,0.4861411237344463
39,500,3.0,3,0.67,1,0.33,1,True,0.4832271762208068,0.5036855231784068
40,500,3.0,3,0.67,1,0.67,1,True,0.47922786403692824,0.5197641377192277
41,500,3.0,3,0.67,1,0.95,1,True,0.3544358311800172,0.500145038604009
42,500,3.0,3,1.0,-1,0.33,1,True,0.4898904802021904,0.4793905894243162
43,500,3.0,3,1.0,-1,0.67,1,True,0.39609544468546637,0.4929568663588919
44,500,3.0,3,1.0,-1,0.95,1,True,0.4551939366919304,0.4751884696786833
45,500,3.0,3,1.0,1,0.33,1,True,0.4675946063505872,0.5088462691130573
46,500,3.0,3,1.0,1,0.67,1,True,0.46434634974533107,0.5212928099158666
47,500,3.0,3,1.0,1,0.95,1,True,0.3398502495840266,0.5011548287205937
