system,theta,auc,pr
homo,0.00,0.50,0.40
homo,0.05,0.78,0.66
homo,0.10,0.82,0.71
homo,0.15,0.87,0.78
homo,0.20,0.89,0.81
homo,0.25,0.90,0.83
homo,0.30,0.91,0.86
homo,0.35,0.91,0.86
homo,0.40,0.92,0.87
homo,0.45,0.92,0.88
homo,0.50,0.93,0.89
homo,0.55,0.93,0.89
homo,0.60,0.93,0.90
homo,0.65,0.94,0.91
homo,0.70,0.94,0.91
homo,0.75,0.94,0.91
homo,0.80,0.94,0.91
homo,0.85,0.95,0.92
homo,0.90,0.96,0.93
homo,0.95,0.96,0.94
homo,0.00,0.51,0.38
homo,0.05,0.75,0.63
homo,0.10,0.86,0.77
homo,0.15,0.87,0.79
homo,0.20,0.89,0.82
homo,0.25,0.90,0.84
homo,0.30,0.90,0.85
homo,0.35,0.91,0.85
homo,0.40,0.92,0.88
homo,0.45,0.92,0.88
homo,0.50,0.93,0.89
homo,0.55,0.94,0.90
homo,0.60,0.93,0.90
homo,0.65,0.94,0.91
homo,0.70,0.94,0.91
homo,0.75,0.94,0.91
homo,0.80,0.95,0.92
homo,0.85,0.95,0.93
homo,0.90,0.95,0.93
homo,0.95,0.96,0.94
homo,0.00,0.50,0.37
homo,0.05,0.76,0.63
homo,0.10,0.85,0.75
homo,0.15,0.87,0.78
homo,0.20,0.89,0.82
homo,0.25,0.89,0.82
homo,0.30,0.91,0.86
homo,0.35,0.91,0.86
homo,0.40,0.91,0.86
homo,0.45,0.92,0.88
homo,0.50,0.93,0.88
homo,0.55,0.93,0.89
homo,0.60,0.94,0.90
homo,0.65,0.94,0.90
homo,0.70,0.94,0.91
homo,0.75,0.94,0.91
homo,0.80,0.95,0.92
homo,0.85,0.95,0.92
homo,0.90,0.96,0.93
homo,0.95,0.96,0.93
homo,0.00,0.48,0.38
homo,0.05,0.79,0.66
homo,0.10,0.84,0.74
homo,0.15,0.86,0.78
homo,0.20,0.89,0.82
homo,0.25,0.89,0.82
homo,0.30,0.91,0.85
homo,0.35,0.92,0.87
homo,0.40,0.92,0.87
homo,0.45,0.92,0.87
homo,0.50,0.93,0.89
homo,0.55,0.93,0.90
homo,0.60,0.94,0.90
homo,0.65,0.94,0.91
homo,0.70,0.94,0.91
homo,0.75,0.95,0.92
homo,0.80,0.95,0.92
homo,0.85,0.95,0.93
homo,0.90,0.95,0.92
homo,0.95,0.96,0.93
homo,0.00,0.50,0.39
homo,0.05,0.75,0.61
homo,0.10,0.80,0.69
homo,0.15,0.86,0.76
homo,0.20,0.89,0.81
